dataset,corruption_type,corruption_ratio,seed,subgroup,n_eval,auc,auc_drop_from_clean,bce,bce_increase_from_clean,clean_auc,clean_bce,mean_support_size,train_only_candidate_check_passed,evidence_minus_degree_random_auc_drop,evidence_minus_degree_random_bce_increase,bootstrap_ci_low,bootstrap_ci_high,claim_status
assist_17,evidence_support_corruption,0.0,42,all,77261,0.7842616403373271,0.0,0.5535688522526588,0.0,0.7842616403373271,0.5535688522526588,25.8217830657959,True,0.0,1.5717427359618341e-12,0.006295107082172957,0.00886930393823362,strong_evidence_gap
assist_17,evidence_support_corruption,0.0,42,graph_hits_history,77261,0.7842616403373271,0.0,0.5535688522526588,0.0,0.7842616403373271,0.5535688522526588,25.8217830657959,True,0.0,1.5717427359618341e-12,0.006295107082172957,0.00886930393823362,strong_evidence_gap
assist_17,evidence_support_corruption,0.0,42,high_support_mass,19317,0.7996881866191942,0.0,0.5411937059488411,0.0,0.7996881866191942,0.5411937059488411,25.8217830657959,True,0.0,0.0,0.00910593690094329,0.01086197412306773,strong_evidence_gap
assist_17,evidence_support_corruption,0.0,42,query_seq_top5_q4_high,19249,0.770652756309943,0.0,0.549793152116602,0.0,0.770652756309943,0.549793152116602,25.8217830657959,True,0.0,0.0,0.008394210720835581,0.009680782680198518,strong_evidence_gap
assist_17,evidence_support_corruption,0.0,42,multi_concept,33639,0.7673364282068558,0.0,0.5693431810625144,0.0,0.7673364282068558,0.5693431810625144,25.8217830657959,True,0.0,3.6096681199637715e-12,0.003986246245700098,0.005355565707132848,strong_evidence_gap
assist_17,evidence_support_corruption,0.0,42,direct_seen,73401,0.7863159803090487,0.0,0.5501929875847464,0.0,0.7863159803090487,0.5501929875847464,25.8217830657959,True,0.0,1.6543433289939458e-12,0.003951228781239813,0.00618161525215114,strong_evidence_gap
assist_17,evidence_support_corruption,0.0,42,direct_unseen,3860,0.7358789845390342,0.0,0.6177636300996622,0.0,0.7358789845390342,0.6177636300996622,25.8217830657959,True,0.0,0.0,0.007596147029149436,0.010152550923022419,strong_evidence_gap
assist_17,evidence_support_corruption,0.0,42,direct_unseen_bridgeable,3860,0.7358789845390342,0.0,0.6177636300996622,0.0,0.7358789845390342,0.6177636300996622,25.8217830657959,True,0.0,0.0,0.007596147029149436,0.010152550923022419,strong_evidence_gap
assist_17,evidence_support_corruption,0.0,42,high_seq_support,19249,0.770652756309943,0.0,0.549793152116602,0.0,0.770652756309943,0.549793152116602,25.8217830657959,True,0.0,0.0,0.008394210720835581,0.009680782680198518,strong_evidence_gap
assist_17,evidence_support_corruption,0.0,42,high_crg_mass,19317,0.7996881866191942,0.0,0.5411937059488411,0.0,0.7996881866191942,0.5411937059488411,25.8217830657959,True,0.0,0.0,0.00910593690094329,0.01086197412306773,strong_evidence_gap
