dataset,subgroup,corruption_ratio,evidence_minus_degree_random_auc_drop,bootstrap_ci_low,bootstrap_ci_high,evidence_minus_degree_random_bce_increase,bce_bootstrap_ci_low,bce_bootstrap_ci_high,claim_status
assist_17,all,1.0,0.00793010651998367,0.006295107082172957,0.00886930393823362,0.00485257744159513,0.0027999758084551797,0.00660001963677469,strong_evidence_gap
assist_17,direct_seen,1.0,0.005494847060566266,0.003951228781239813,0.00618161525215114,0.0013755390593519045,-0.0009656525768256818,0.0031954609773483075,strong_evidence_gap
assist_17,direct_unseen,1.0,0.008577263927139867,0.007596147029149436,0.010152550923022419,0.07097125472010149,0.06851406715398685,0.07447452642531328,strong_evidence_gap
assist_17,direct_unseen_bridgeable,1.0,0.008577263927139867,0.007596147029149436,0.010152550923022419,0.07097125472010149,0.06851406715398685,0.07447452642531328,strong_evidence_gap
assist_17,graph_hits_history,1.0,0.00793010651998367,0.006295107082172957,0.00886930393823362,0.00485257744159513,0.0027999758084551797,0.00660001963677469,strong_evidence_gap
assist_17,high_crg_mass,1.0,0.010130924764075889,0.00910593690094329,0.01086197412306773,0.010599575239644676,0.009223952703466164,0.011735059103958067,strong_evidence_gap
assist_17,high_seq_support,1.0,0.009222146277434496,0.008394210720835581,0.009680782680198518,0.018296785964584217,0.016369792038867948,0.021344132101687806,strong_evidence_gap
assist_17,high_support_mass,1.0,0.010130924764075889,0.00910593690094329,0.01086197412306773,0.010599575239644676,0.009223952703466164,0.011735059103958067,strong_evidence_gap
assist_17,long_history,1.0,0.007323184402856464,0.006330561631632902,0.007910037312063679,0.0037131800690524573,0.0023493448357798986,0.005318214249211995,strong_evidence_gap
assist_17,multi_concept,1.0,0.004624972144952344,0.003986246245700098,0.005355565707132848,0.0055776156557793,0.004262478410970394,0.006735627807426181,strong_evidence_gap
assist_17,query_seq_top5_q4_high,1.0,0.009222146277434496,0.008394210720835581,0.009680782680198518,0.018296785964584217,0.016369792038867948,0.021344132101687806,strong_evidence_gap
assist_17,short_history,1.0,0.008503935039770916,0.006232257592398582,0.009918710330694613,0.005987412279448811,0.0031985639720804593,0.00787669223951063,strong_evidence_gap
