dataset,variant,source_variant,pairs,weight_sum,hit@5,hit@10,ndcg@10,mrr,train_only_crg_check_passed
junyi,fused_CRG,A_fused_prior,200943,150672.50999999998,0.0888728806601815,0.1648150681235747,0.0781847322900564,0.071749069881572,True
junyi,item_only,A_item_only,200943,150672.50999999998,0.0011386284067345,0.0023091803541336,0.0009833311015863,0.006988431091279,True
junyi,seq_only,A_seq_only,200943,150672.50999999998,0.0888728806601815,0.1648150681235747,0.0781847322900564,0.071749069881572,True
junyi,support_uniform,A_support_uniform,200943,150672.50999999998,0.0132050630868232,0.0261262655012516,0.0118352363360611,0.0172032536194862,True
junyi,degree_random,A_degree_random,200943,150672.50999999998,0.0090364858194769,0.0170794261010186,0.0078646942114528,0.0114659589852273,True
junyi,random,A_uniform_offdiag,200943,150672.50999999998,0.0093848572642746,0.021906849497629,0.008442616979512,0.0095385406607669,True
junyi,self_only,A_self_only,200943,150672.50999999998,0.0010480345751192,0.0020482170237955,0.0007817329577329,0.0067153737631184,True
