variant,auc,acc,rmse
full,0.784681630597249,0.7150955850946791,0.4320806099147673
no_CRG,0.764669457711034,0.697311709659466,0.4413341530853958
no_LCRF,0.7829265821630697,0.7132447159627755,0.4359337837306946
LCRF_shuffle,0.5965752722110267,0.572746922768279,0.5196445312903754
LCRF_mean,0.6441237966300283,0.6033445075782089,0.4865145192042922
