case_id,rank,stu_id,eval_row_id,query_concept,support_concept,query_mapped,support_mapped,crg_prior,lcrf_posterior,delta,student_support_mastery_logit,student_support_recent_logit,student_support_count,item_prior,seq_prior,source,is_self
EC01_row48786,1,1075,48786,C58,C11,57,11,0.06958131864666939,0.34949661791324615,0.27991529926657677,-1.323042631149292,-1.4613558053970337,13.0,0.1034482792019844,0.023909812793135643,item+seq,0
EC01_row48786,1,1075,48786,C58,C14,57,14,0.32813729881308973,0.17541512264870107,-0.15272217616438866,-0.78338623046875,-1.2094120979309082,5.0,0.03448275849223137,0.05000869557261467,item+seq,0
EC01_row48786,1,1075,48786,C58,C21,57,20,0.36447343695908785,0.1621469064266421,-0.20232653053244576,-0.6416656970977783,-0.8341527581214905,14.0,0.24137930572032928,0.08908572047948837,item+seq,0
EC01_row48786,1,1075,48786,C58,C10,57,10,0.10946819558739662,0.1286323368549347,0.01916414126753807,-1.0828723907470703,-1.2714817523956299,15.0,0.03448275849223137,0.02582111954689026,item+seq,0
EC01_row48786,1,1075,48786,C58,C25,57,24,0.019645280903205276,0.07825957424938679,0.05861429334618151,-1.0991883277893066,-1.3501558303833008,10.0,0.03448275849223137,0.013868240639567375,item+seq,0
EC01_row48786,1,1075,48786,C58,C53,57,52,0.006510089646326378,0.025662397441919893,0.019152307795593515,-0.6616815328598022,-1.0492122173309326,5.0,0.1034482792019844,0.003470516065135598,item+seq,0
EC01_row48786,1,1075,48786,C58,C37,57,36,0.019485707627609372,0.021512278588488698,0.002026570960879326,-1.081137776374817,-1.3490151166915894,14.0,0.03448275849223137,0.030751874670386314,item+seq,0
EC01_row48786,1,1075,48786,C58,C60,57,59,0.019260806846432388,0.018509324174374342,-0.0007514826720580459,-1.0217572450637817,-1.35443913936615,8.0,0.03448275849223137,0.025786003097891808,item+seq,0
EC02_row56121,2,1239,56121,C58,C21,57,20,0.36447343695908785,0.4244596080388874,0.05998617107979953,-0.9496167302131653,-1.3176038265228271,7.0,0.24137930572032928,0.08908572047948837,item+seq,0
EC02_row56121,2,1239,56121,C58,C14,57,14,0.32813729881308973,0.23044274642597884,-0.09769455238711089,0.0,0.0,0.0,0.03448275849223137,0.05000869557261467,item+seq,0
EC02_row56121,2,1239,56121,C58,C58,57,57,0.05000000260770321,0.08213406056165695,0.03213405795395374,-1.0727440118789673,-0.6036032438278198,47.0,0.0,0.0,self,1
EC02_row56121,2,1239,56121,C58,C10,57,10,0.10946819558739662,0.05505406856536865,-0.05441412702202797,-0.3190501928329468,-0.1700710654258728,6.0,0.03448275849223137,0.02582111954689026,item+seq,0
EC02_row56121,2,1239,56121,C58,C11,57,11,0.06958131864666939,0.04547513788565993,-0.024106180761009455,0.07463067770004272,0.37038224935531616,9.0,0.1034482792019844,0.023909812793135643,item+seq,0
EC02_row56121,2,1239,56121,C58,C53,57,52,0.006510089646326378,0.04013221827335656,0.03362212862703018,0.0,0.0,0.0,0.1034482792019844,0.003470516065135598,item+seq,0
EC02_row56121,2,1239,56121,C58,C43,57,42,0.00684184895362705,0.03692952485289425,0.030087675899267197,-0.27484747767448425,-0.6116912961006165,1.0,0.1034482792019844,0.005312186200171709,item+seq,0
EC02_row56121,2,1239,56121,C58,C55,57,54,0.0039793260366423056,0.035134897188981995,0.03115557115233969,-0.539091169834137,-0.9683914184570312,3.0,0.13793103396892548,0.00318110641092062,item+seq,0
EC03_row6258,3,139,6258,C58,C21,57,20,0.36447343695908785,0.3481183566618711,-0.016355080297216773,-2.0,-1.3608534336090088,50.0,0.24137930572032928,0.08908572047948837,item+seq,0
EC03_row6258,3,139,6258,C58,C14,57,14,0.32813729881308973,0.32396208494901657,-0.004175213864073157,-1.99007248878479,-1.5535258054733276,63.0,0.03448275849223137,0.05000869557261467,item+seq,0
EC03_row6258,3,139,6258,C58,C11,57,11,0.06958131864666939,0.23370610922574997,0.16412479057908058,-1.2649508714675903,-1.4425380229949951,12.0,0.1034482792019844,0.023909812793135643,item+seq,0
EC03_row6258,3,139,6258,C58,C10,57,10,0.10946819558739662,0.03272767458111048,-0.07674052100628614,-0.9565233588218689,-1.0783536434173584,13.0,0.03448275849223137,0.02582111954689026,item+seq,0
EC03_row6258,3,139,6258,C58,C43,57,42,0.00684184895362705,0.017617190082091838,0.010775341128464788,-0.9484288692474365,-1.4178909063339233,5.0,0.1034482792019844,0.005312186200171709,item+seq,0
EC03_row6258,3,139,6258,C58,C58,57,57,0.05000000260770321,0.014942246722057462,-0.03505775588564575,-1.121211290359497,-0.9427471160888672,38.0,0.0,0.0,self,1
EC03_row6258,3,139,6258,C58,C25,57,24,0.019645280903205276,0.0076959216967225075,-0.011949359206482768,-0.8764222860336304,-0.8038249015808105,12.0,0.03448275849223137,0.013868240639567375,item+seq,0
EC03_row6258,3,139,6258,C58,C53,57,52,0.006510089646326378,0.006572124344529584,6.203469820320606e-05,-0.3186131715774536,-0.6552070379257202,2.0,0.1034482792019844,0.003470516065135598,item+seq,0
