variant,auc,acc,rmse
full,0.7903259106545093,0.7208780883640479,0.43011941876125875
no_CRG,0.7841780139645737,0.7147138169367985,0.43319986684414974
no_LCRF,0.7733275513333007,0.7072825243616847,0.4380968484527473
LCRF_shuffle,0.5083214397061508,0.5096556976802123,0.5803724114012969
LCRF_mean,0.5049635676345758,0.5203399602810225,0.5433280359879764
