case_id,rank,query_concept,support_concept,query_mapped,support_mapped,crg_weight,item_prior,seq_prior,source,is_self
CRG01_row9805,1,C3,C32,0,1,0.5995915532112122,0.17797203361988068,0.1721956431865692,item+seq,0
CRG01_row9805,1,C3,C74,0,20,0.1628575325012207,0.032517481595277786,0.04535967484116554,item+seq,0
CRG01_row9805,1,C3,C3,0,0,0.05000000074505806,0.0,0.0,self,1
CRG01_row9805,1,C3,C37,0,4,0.049984417855739594,0.037062935531139374,0.03442876785993576,item+seq,0
CRG01_row9805,1,C3,C42,0,8,0.03984617441892624,0.04055944085121155,0.072576142847538,item+seq,0
CRG01_row9805,1,C3,C39,0,6,0.03764878958463669,0.049300700426101685,0.003069285536184907,item+seq,0
CRG01_row9805,1,C3,C71,0,18,0.028490126132965088,0.10314685106277466,0.09578772634267807,item+seq,0
CRG01_row9805,1,C3,C144,0,35,0.021020345389842987,0.035314686596393585,0.05633587762713432,item+seq,0
CRG01_row9805,1,C32,C37,1,4,0.26791122555732727,0.06896551698446274,0.036246031522750854,item+seq,0
CRG01_row9805,1,C32,C204,1,54,0.1521085947751999,0.033832140266895294,0.031850285828113556,item+seq,0
CRG01_row9805,1,C32,C42,1,8,0.14802564680576324,0.07547169923782349,0.07581338286399841,item+seq,0
CRG01_row9805,1,C32,C144,1,35,0.13505250215530396,0.06571242958307266,0.05979882925748825,item+seq,0
CRG01_row9805,1,C32,C211,1,58,0.11471670866012573,0.03838646784424782,0.040446702390909195,item+seq,0
CRG01_row9805,1,C32,C39,1,6,0.05881258845329285,0.09173715114593506,0.0027301181107759476,item+seq,0
CRG01_row9805,1,C32,C32,1,1,0.05000000074505806,0.0,0.0,self,1
CRG01_row9805,1,C32,C219,1,60,0.035760730504989624,0.02797657623887062,0.017469214275479317,item+seq,0
CRG01_row9805,1,C37,C219,4,60,0.6019247174263,0.13312692940235138,0.018872950226068497,item+seq,0
CRG01_row9805,1,C37,C220,4,61,0.15909120440483093,0.1207430362701416,0.015113399364054203,item+seq,0
CRG01_row9805,1,C37,C221,4,62,0.11991863697767258,0.08978328108787537,0.00673998286947608,item+seq,0
CRG01_row9805,1,C37,C32,4,1,0.05853027105331421,0.32817336916923523,0.15856841206550598,item+seq,0
CRG01_row9805,1,C37,C37,4,4,0.05000000447034836,0.0,0.0,self,1
CRG01_row9805,1,C37,C3,4,0,0.010533465072512627,0.32817336916923523,0.2589564323425293,item+seq,0
CRG01_row9805,1,C37,C74,4,20,7.89017803981551e-07,0.0,0.027394575998187065,seq,0
CRG01_row9805,1,C37,C62,4,14,1.578845854055544e-07,0.0,0.01646595634520054,seq,0
CRG01_row9805,1,C219,C37,60,4,0.890058159828186,0.3208955228328705,0.038745392113924026,item+seq,0
CRG01_row9805,1,C219,C219,60,60,0.05000000447034836,0.0,0.0,self,1
CRG01_row9805,1,C219,C220,60,61,0.04153522849082947,0.03731343150138855,0.014514295384287834,item+seq,0
CRG01_row9805,1,C219,C32,60,1,0.015619086101651192,0.3208955228328705,0.15589983761310577,item+seq,0
CRG01_row9805,1,C219,C3,60,0,0.0027868293691426516,0.3208955228328705,0.2540430724620819,item+seq,0
CRG01_row9805,1,C219,C74,60,20,3.0530523531524523e-07,0.0,0.02728034183382988,seq,0
CRG01_row9805,1,C219,C62,60,14,6.135579866395346e-08,0.0,0.01648995466530323,seq,0
CRG01_row9805,1,C219,C204,60,54,5.523152069031312e-08,0.0,0.031163351610302925,seq,0
CRG01_row9805,1,C220,C37,61,4,0.7934934496879578,0.3196721374988556,0.037309207022190094,item+seq,0
CRG01_row9805,1,C220,C219,61,60,0.13927669823169708,0.04098360612988472,0.017452696338295937,item+seq,0
CRG01_row9805,1,C220,C220,61,61,0.05000000074505806,0.0,0.0,self,1
CRG01_row9805,1,C220,C32,61,1,0.014621676877140999,0.3196721374988556,0.1546265184879303,item+seq,0
