delete_mode,fraction,trial,group,n,deleted_edges,auc,auc_drop_vs_baseline,bce,bce_increase_vs_baseline
top,0.1,0,all,51090,237,0.7518486873133248,0.021601305175919405,0.5611217086274609,0.024021495088786593
top,0.1,0,graph_hits_history,50529,237,0.7515308114458703,0.021587281433580463,0.5609886375396171,0.024006884745797485
top,0.1,0,high_support_mass,12637,237,0.724222820201341,0.029085851849196098,0.5329860133764257,0.02692349505224645
top,0.1,0,multi_concept,8419,237,0.7098622948636681,0.04095907030741763,0.5932281484275094,0.03862294833291857
random,0.1,0,all,51090,237,0.7716075306321171,0.001842461857127109,0.5360314856329504,-0.0010687279057238763
random,0.1,0,graph_hits_history,50529,237,0.7713419774151508,0.0017761154643000099,0.5358524116172113,-0.001129341176608345
random,0.1,0,high_support_mass,12637,237,0.7510766207548336,0.0022320512957034744,0.5061011882293297,3.866990515044577e-05
random,0.1,0,multi_concept,8419,237,0.7460536336643638,0.0047677315067219395,0.5538375200620937,-0.0007676800324970534
random,0.1,1,all,51090,237,0.7710536660719999,0.002396326417244299,0.5400404612578096,0.0029402477191352583
random,0.1,1,graph_hits_history,50529,237,0.7706691039126952,0.0024489889667556053,0.5399680067877876,0.0029862539939679023
random,0.1,1,high_support_mass,12637,237,0.7482749746053856,0.005033697445151475,0.5121959076260615,0.0061333893018822305
random,0.1,1,multi_concept,8419,237,0.7447944907014221,0.006026874469663657,0.5681665114333401,0.013561311338749271
random,0.1,2,all,51090,237,0.7721509299378597,0.0012990625513844556,0.536872076366914,-0.0002281371717602898
random,0.1,2,graph_hits_history,50529,237,0.7718761072031717,0.0012419856762790893,0.5367055797799843,-0.00027617301383531245
random,0.1,2,high_support_mass,12637,237,0.7516734674434458,0.0016352046070913229,0.5066919608180537,0.0006294424938744214
random,0.1,2,multi_concept,8419,237,0.7485416102247899,0.002279754946295842,0.5553424907534139,0.0007372906588231087
random,0.1,3,all,51090,237,0.7706020569241919,0.002847935565052251,0.5391466606822088,0.0020464471435345244
random,0.1,3,graph_hits_history,50529,237,0.7702138645080046,0.002904228371446216,0.5390751011186838,0.002093348324864186
random,0.1,3,high_support_mass,12637,237,0.7484188737449899,0.004889798305547144,0.5115666287083859,0.0055041103842066175
random,0.1,3,multi_concept,8419,237,0.7421094101014905,0.008711955069595323,0.5653215661170775,0.010716366022486712
random,0.1,4,all,51090,237,0.7697759736741971,0.003674018815047031,0.5404796376795461,0.0033794241408717784
