variant,metric,mean,ci_low,ci_high
A_fused_prior,hit@10,0.3649010531842627,0.3629400330042358,0.366804271448057
A_item_only,hit@10,0.16360176062128176,0.16234175751885346,0.16488861471137248
A_seq_only,hit@10,0.36721060566666863,0.3652966947671216,0.36913735130671776
A_support_uniform,hit@10,0.13454806828185403,0.1332637490496958,0.13595625914608295
A_degree_random,hit@10,0.1357874652387918,0.13452123654552814,0.13710405271771547
A_uniform_offdiag,hit@10,0.1321533789872918,0.13090190182186692,0.13336978688065151
A_self_only,hit@10,0.1123206262725178,0.11118560137983217,0.11357331843908339
