variant,repeat,seed,mrr,hit@1,ndcg@1,hit@3,ndcg@3,hit@5,ndcg@5,hit@10,ndcg@10
A_degree_random_repeat,0,7961,0.05864487007937832,0.01268551288743185,0.01268551288743185,0.033876371519042575,0.025226763724488867,0.055791871486468275,0.03401370182253789,0.13151889285077908,0.058273716071451244
A_degree_random_repeat,1,15880,0.05921788534766801,0.011609131676694846,0.011609131676694846,0.0365696642789777,0.026327100896360398,0.05902538262045216,0.03530492754538333,0.13421852888709865,0.059351463223567415
A_degree_random_repeat,2,23799,0.05998544918478027,0.013380101651523996,0.013380101651523996,0.03508414174144669,0.026280029546533946,0.05756538917066494,0.03528087729464294,0.13826699505427212,0.061054650987818954
A_degree_random_repeat,3,31718,0.059804717851404295,0.013412909908889228,0.013412909908889228,0.03526227342089723,0.02631046647173032,0.05700499709795102,0.03505421490792203,0.13463390950213958,0.05982668964664392
A_degree_random_repeat,4,39637,0.059092601914080195,0.01063445086438319,0.01063445086438319,0.03681382842570849,0.026118198845232313,0.059195715189594024,0.03510737962002992,0.1368244716115764,0.05987383566968264
A_degree_random_repeat,5,47556,0.059531851021660864,0.0137558627861968,0.0137558627861968,0.034490317482542845,0.026007738826162332,0.05850440205183152,0.03561191365595341,0.1362967318140215,0.06045498925661153
A_degree_random_repeat,6,55475,0.057486055759032914,0.010413372084166123,0.010413372084166123,0.033765676146727874,0.02422361580935859,0.05530203536501367,0.03286312803590347,0.13556252356956122,0.05848592648450689
A_degree_random_repeat,7,63394,0.0577308135078351,0.011837177662121012,0.011837177662121012,0.03386779249770303,0.02491197260756022,0.05599194466292062,0.03374447225864398,0.1314543682114919,0.057856049778430736
A_degree_random_repeat,8,71313,0.05785508288496205,0.011310633728146826,0.011310633728146826,0.03402424265049538,0.02468270373831734,0.05745770945433628,0.03405783084844503,0.1338492670110164,0.05847114538011788
A_degree_random_repeat,9,79232,0.056877720787170585,0.010496770570400406,0.010496770570400406,0.032464732553169263,0.02333590305014461,0.05563256165989607,0.03263358471951569,0.13291956106815153,0.05743116008711979
A_degree_random_repeat,10,87151,0.05969687136674285,0.014293065504259532,0.014293065504259532,0.03591745068089612,0.026987353945393346,0.056620033013113975,0.03532731945872014,0.13286335547986025,0.05964580512316926
