ablate_concept_graph,best_val_auc,exit_code,log_path,model_epoch,name,personal_mastery_prior_scale,personal_query_correction_max_ratio,personal_query_correction_scale,personal_recent_mastery_prior_scale,result_path,run_id,status,test_acc,test_auc,test_rmse,use_personal_graph,variant
True,0.6811627643432132,0,/home/zsh/ConceptSkillCDM/server_logs/assist17_best_ablation_20260508_113632/assist17_best_no_A.out,1,assist17_best_no_A,0.55,0.24,0.28,0.25,/home/zsh/ConceptSkillCDM/checkpoints/assist17_best_ablation_20260508_113632/assist17_best_no_A/test_results.json,assist17_best_ablation_20260508_113632,ok,0.6326995508730149,0.6807310148001218,0.4733868947693033,,assist17_best_no_A
,0.7078932404891545,0,/home/zsh/ConceptSkillCDM/server_logs/assist17_best_ablation_20260508_113632/assist17_best_no_E.out,15,assist17_best_no_E,0.55,0.24,0.28,0.25,/home/zsh/ConceptSkillCDM/checkpoints/assist17_best_ablation_20260508_113632/assist17_best_no_E/test_results.json,assist17_best_ablation_20260508_113632,ok,0.6562172376748941,0.7092845645618674,0.46194874824933124,False,assist17_best_no_E
