dataset,rows,direct,residual,prop_h1,prop_h2,base_auc,drop_direct,drop_residual,drop_prop_h1,drop_prop_h2
assist_17,30515,0.13870219886302948,0.003499488113448024,0.002815479412674904,0.0025335142854601145,0.7879565312106541,0.001689072780098555,6.510698565942441e-06,-1.6603483385946305e-05,-2.0924279312439786e-05
nips34,137947,0.14776480197906494,0.009251873008906841,0.00896321702748537,0.00022008683299645782,0.7885923343464993,0.0031942292954288964,0.00012056692658646284,0.00011036015790022446,9.969991947578194e-07
ednet_kt1,23656,0.1020081490278244,0.01873365044593811,0.02579273097217083,0.05209057778120041,0.7560682257284069,0.0021632838357098505,0.00032146875333116665,-9.916439294788137e-05,0.00018722448271490943
moocradar,38608,0.039364855736494064,0.0033592511899769306,0.042237941175699234,0.0015245883259922266,0.933978377061203,6.093183768407506e-05,-2.9371502966446528e-06,7.745096960765085e-05,1.5932949063435231e-06
xes3g5m,20699,0.07671138644218445,0.01977531984448433,0.04145900905132294,0.04336761683225632,0.7948554393119571,0.0014016240246033096,0.00029832473953450567,0.0002487703268241326,0.00028842789506977606
junyi,22111,0.0,0.0,0.02808775007724762,0.028254609555006027,0.8256290913337168,0.0,0.0,4.3840110482973316e-05,5.220724566323831e-05
