dataset,seed,profile,full_auc,no_module1_auc,no_module3_auc,delta_module1_full_minus_no1,delta_module3_full_minus_no3,full_graph_entropy_ratio,full_alpha_std,full_gate_mean,full_delta_over_irt,full_warn_graph_uniform_count,full_warn_alpha_collapse_count,full_warn_module3_count,full_module_activity_epoch10,diagnosis_reason
assist_09,42,baseline,0.7823160736565318,0.7578348148222882,0.7559428768197026,0.02448125883424357,0.02637319683682915,1.0,0.4141,0.9945,0.5639,12,0,22,"2026-03-10 07:04:17,986 - INFO - [assist_09|assist_09_m13diag_baseline_full|lr=0.0003|drop=0.20] [Module Activity] Epoch 10: Graph✗ Personal✓ MF✓",M1-global-graph-uniform;M3-strong-positive;M3-gate-very-high
junyi,42,baseline,0.8273415022175308,0.8202600914901712,0.8277305696368382,0.007081410727359572,-0.0003890674193074428,1.0,0.0,0.3478,0.0236,17,17,0,"2026-03-10 07:56:18,124 - INFO - [junyi|junyi_m13diag_baseline_full|lr=0.003|drop=0.40] [Module Activity] Epoch 10: Graph✗ Personal✗ MF✓",M1-global-graph-uniform;M1-personal-graph-collapsed;M3-ablation-delta-small;M3-delta-over-irt-low;M3-gate-low
