bucket,rows,auc,dataset,model_variant,seed
"[0,1)",22111,0.8262241417594982,junyi,no_graph_calibration,42
"[1,3)",0,,junyi,no_graph_calibration,42
"[3,6)",0,,junyi,no_graph_calibration,42
"[6,inf)",0,,junyi,no_graph_calibration,42
all,22111,0.8262241417594982,junyi,no_graph_calibration,42
