timestamp,dataset,model_variant,ablation_flags,seed,batch_size,knowledge_dim,skill_dim,exercise_dim,num_relation_heads,num_gnn_layers,dropout,learning_rate,weight_decay,lambda_sparse,lambda_independence,lambda_proto_div,lambda_proto_usage,use_soft_prototype,use_skill_encoder,use_exercise_graph,use_concept_fusion,num_prototypes,proto_tau,proto_lambda,test_auc,test_acc,test_rmse,best_val_auc,model_epoch
2025-12-07 03:01:17,assist_09,full,ablate_soft_prototype=False;ablate_skill_encoder=False;ablate_exercise_graph=False;ablate_concept_fusion=False,42,512,128,2,128,4,2,0.2,0.0003,1e-05,0.1,0.05,0.0,0.0,True,True,True,True,3,1.0,0.5,0.7698094186154358,0.7340577365887077,0.4218216438461087,0.767582324338673,3
2025-12-07 03:03:49,assist_09,full,ablate_soft_prototype=False;ablate_skill_encoder=False;ablate_exercise_graph=False;ablate_concept_fusion=False,42,512,128,2,128,4,2,0.1,0.0003,1e-05,0.05,0.1,0.0,0.0,True,True,True,True,3,1.0,0.5,0.7694242549349934,0.7341148261622485,0.42195822636572283,0.7675179727107395,3
2025-12-07 03:06:50,assist_09,full,ablate_soft_prototype=False;ablate_skill_encoder=False;ablate_exercise_graph=False;ablate_concept_fusion=False,42,512,128,2,128,4,2,0.2,0.0001,1e-05,0.05,0.1,0.0,0.0,True,True,True,True,3,1.0,0.5,0.7681245758344267,0.7338103484366971,0.4228379949987609,0.7662611744596569,5
2025-12-07 03:09:02,junyi,full,ablate_soft_prototype=False;ablate_skill_encoder=False;ablate_exercise_graph=False;ablate_concept_fusion=False,42,512,128,2,128,4,2,0.1,0.0003,1e-05,0.1,0.1,0.0,0.0,True,True,True,True,3,1.0,0.5,0.8112132899974241,0.771071793329345,0.3960553182583173,0.8123810428631444,2
2025-12-07 03:09:26,junyi,full,ablate_soft_prototype=False;ablate_skill_encoder=False;ablate_exercise_graph=False;ablate_concept_fusion=False,42,512,128,2,128,4,2,0.2,0.0003,1e-05,0.05,0.05,0.0,0.0,True,True,True,True,3,1.0,0.5,0.8127442628592805,0.7720865049958849,0.39545244370946353,0.8139277548570365,2
2025-12-07 03:13:43,assist_09,full,ablate_soft_prototype=False;ablate_skill_encoder=False;ablate_exercise_graph=False;ablate_concept_fusion=False,42,512,128,2,128,4,2,0.1,0.0001,1e-05,0.1,0.1,0.0,0.0,True,True,True,True,3,1.0,0.5,0.7686707239773758,0.7322499000932463,0.4234527824431155,0.7666111296550089,7
2025-12-07 03:15:52,junyi,full,ablate_soft_prototype=False;ablate_skill_encoder=False;ablate_exercise_graph=False;ablate_concept_fusion=False,42,512,128,2,128,4,2,0.1,0.001,1e-05,0.1,0.1,0.0,0.0,True,True,True,True,3,1.0,0.5,0.8140787286987572,0.7717328432749736,0.3948995174490018,0.8150432794707256,2
2025-12-07 03:17:22,assist_09,full,ablate_soft_prototype=False;ablate_skill_encoder=False;ablate_exercise_graph=False;ablate_concept_fusion=False,42,512,128,2,128,4,2,0.1,0.0001,1e-05,0.05,0.1,0.0,0.0,True,True,True,True,3,1.0,0.5,0.7692180740499979,0.7332775124169822,0.42315074740892294,0.7670494420078746,7
2025-12-07 03:18:37,junyi,full,ablate_soft_prototype=False;ablate_skill_encoder=False;ablate_exercise_graph=False;ablate_concept_fusion=False,42,512,128,2,128,4,2,0.1,0.001,1e-05,0.05,0.05,0.0,0.0,True,True,True,True,3,1.0,0.5,0.8128996869703836,0.7712866345616743,0.3956015393380513,0.8139471459927149,2
2025-12-07 03:24:57,junyi,full,ablate_soft_prototype=False;ablate_skill_encoder=False;ablate_exercise_graph=False;ablate_concept_fusion=False,42,512,128,2,128,4,2,0.2,0.0003,1e-05,0.1,0.05,0.0,0.0,True,True,True,True,3,1.0,0.5,0.8114324617390132,0.7710056883347821,0.3962729693774147,0.8126528556225417,2
