dataset,rows,direct,residual,prop_h1,prop_h2
assist_17,30515,0.13870219886302948,0.003499488113448024,0.002815479412674904,0.0025335142854601145
nips34,137947,0.14776480197906494,0.009251873008906841,0.00896321702748537,0.00022008683299645782
ednet_kt1,23656,0.1020081490278244,0.01873365044593811,0.02579273097217083,0.05209057778120041
moocradar,38608,0.039364855736494064,0.0033592511899769306,0.042237941175699234,0.0015245883259922266
xes3g5m,20699,0.07671138644218445,0.01977531984448433,0.04145900905132294,0.04336761683225632
junyi,22111,0.0,0.0,0.02808775007724762,0.028254609555006027
