bucket,rows,auc,dataset,model_variant,seed
"[0,1)",23944,0.9424770549385568,moocradar,no_response_evidence,42
"[1,3)",9618,0.9265671888102299,moocradar,no_response_evidence,42
"[3,6)",3277,0.9043378783257918,moocradar,no_response_evidence,42
"[6,inf)",1769,0.8653927920631707,moocradar,no_response_evidence,42
all,38608,0.933624631294098,moocradar,no_response_evidence,42
