dataset,variant,n_eval,auc,bce,rmse,auc_drop_from_full,bce_increase_from_full,support_identical_check_passed,notes
assist_09,no_filter,,0.7633669337459796,,0.4246636167411234,0.014948353709289153,,True,
assist_09,mean_state,,0.6064877484755,,0.4826877185841289,0.17182753897976877,,True,
assist_09,shuffle_state,,0.5751072021849873,,0.5070403758022731,0.20320808527028145,,True,
junyi,no_filter,,0.8286027863959782,,0.3994366515844029,0.00051041822773501,,True,Junyi is reported as weak for LCRF
junyi,mean_state,,0.8258508187156828,,0.4016521027339835,0.0032623859080304074,,True,Junyi is reported as weak for LCRF
junyi,shuffle_state,,0.8188038365963592,,0.4049146419808708,0.010309368027353938,,True,Junyi is reported as weak for LCRF
assist_17,no_filter,,0.7829265821630697,,0.4359337837306946,0.001755048434179396,,True,
assist_17,mean_state,,0.6441237966300283,,0.4865145192042922,0.14055783396722077,,True,
assist_17,shuffle_state,,0.5965752722110267,,0.5196445312903754,0.18810635838622236,,True,
