variant,auc,acc,rmse
full,0.8291132046237132,0.7688200482692499,0.400754549204135
no_CRG,0.8278444921937922,0.7690845373094852,0.4010565267840037
no_LCRF,0.8286027863959782,0.7701259629054121,0.3994366515844029
LCRF_shuffle,0.8188038365963592,0.7637947565047774,0.40491464198087085
LCRF_mean,0.8258508187156828,0.7672992362878963,0.40165210273398355
