case_id,rank,stu_id,eval_row_id,query_concept,support_concept,query_mapped,support_mapped,crg_prior,lcrf_posterior,delta,student_support_mastery_logit,student_support_recent_logit,student_support_count,item_prior,seq_prior,source,is_self
EC01_row32600,1,1396,32600,C97,C96,97,96,0.21771348267793655,0.44945935904979706,0.2317458763718605,0.09494918584823608,0.05443763732910156,3.0,0.0,0.09248217940330505,seq,0
EC01_row32600,1,1396,32600,C97,C46,97,46,0.09723109006881714,0.23704040050506592,0.13980931043624878,0.04802370071411133,-0.14918673038482666,5.0,0.0,0.030518658459186554,seq,0
EC01_row32600,1,1396,32600,C97,C81,97,81,0.08876181021332741,0.13422098383307457,0.04545917361974716,-0.1851874589920044,-0.5424384474754333,11.0,0.0,0.0522807352244854,seq,0
EC01_row32600,1,1396,32600,C97,C55,97,55,0.089371208101511,0.08468450978398323,-0.004686698317527771,0.2797861099243164,0.5857598781585693,2.0,0.0,0.04661891981959343,seq,0
EC01_row32600,1,1396,32600,C97,C99,97,99,0.043644046410918236,0.07488441281020641,0.031240366399288177,0.0,0.0,0.0,0.0,0.025765055790543556,seq,0
EC01_row32600,1,1396,32600,C97,C79,97,79,0.071830615401268,0.005471235956065357,-0.06635937944520265,-0.46697044372558594,-0.469646155834198,31.0,0.0,0.05583522468805313,seq,0
EC01_row32600,1,1396,32600,C97,C82,97,82,0.06605120003223419,0.0032060776138678193,-0.06284512241836637,0.6654394865036011,1.0542536973953247,5.0,0.0,0.046974435448646545,seq,0
EC01_row32600,1,1396,32600,C97,C98,97,98,0.1200246810913086,0.0031658250372856855,-0.11685885605402291,-0.6259119510650635,-0.6469628810882568,6.0,0.0,0.1276281625032425,seq,0
EC02_row32510,2,1393,32510,C97,C96,97,96,0.21771348267793655,0.44856807589530945,0.2308545932173729,0.0,0.0,0.0,0.0,0.09248217940330505,seq,0
EC02_row32510,2,1393,32510,C97,C46,97,46,0.09723109006881714,0.23651722818613052,0.13928613811731339,-1.3153632879257202,-1.685811161994934,11.0,0.0,0.030518658459186554,seq,0
EC02_row32510,2,1393,32510,C97,C81,97,81,0.08876181021332741,0.1345503143966198,0.04578850418329239,-0.6164172291755676,-0.7505287528038025,6.0,0.0,0.0522807352244854,seq,0
EC02_row32510,2,1393,32510,C97,C55,97,55,0.089371208101511,0.08572570979595184,-0.0036454983055591583,-0.48089659214019775,-0.6331988573074341,7.0,0.0,0.04661891981959343,seq,0
EC02_row32510,2,1393,32510,C97,C99,97,99,0.043644046410918236,0.0750077236443758,0.031363677233457565,0.0,0.0,0.0,0.0,0.025765055790543556,seq,0
EC02_row32510,2,1393,32510,C97,C79,97,79,0.071830615401268,0.005492310971021652,-0.06633830443024635,-0.049196213483810425,0.005566835403442383,7.0,0.0,0.05583522468805313,seq,0
EC02_row32510,2,1393,32510,C97,C82,97,82,0.06605120003223419,0.003189181676134467,-0.06286201835609972,0.11284512281417847,-0.18184396624565125,7.0,0.0,0.046974435448646545,seq,0
EC02_row32510,2,1393,32510,C97,C98,97,98,0.1200246810913086,0.0031645772978663445,-0.11686010379344225,-0.9004189968109131,-0.6508855819702148,47.0,0.0,0.1276281625032425,seq,0
EC03_row38320,3,1900,38320,C97,C96,97,96,0.21771348267793655,0.4342881739139557,0.21657469123601913,0.0,0.0,0.0,0.0,0.09248217940330505,seq,0
EC03_row38320,3,1900,38320,C97,C46,97,46,0.09723109006881714,0.23798777163028717,0.14075668156147003,0.0,0.0,0.0,0.0,0.030518658459186554,seq,0
EC03_row38320,3,1900,38320,C97,C81,97,81,0.08876181021332741,0.15091609954833984,0.062154289335012436,0.3908078670501709,0.7388008832931519,3.0,0.0,0.0522807352244854,seq,0
EC03_row38320,3,1900,38320,C97,C55,97,55,0.089371208101511,0.07957430556416512,-0.009796902537345886,0.14964628219604492,0.3579980134963989,1.0,0.0,0.04661891981959343,seq,0
EC03_row38320,3,1900,38320,C97,C99,97,99,0.043644046410918236,0.07346206903457642,0.02981802262365818,0.0,0.0,0.0,0.0,0.025765055790543556,seq,0
EC03_row38320,3,1900,38320,C97,C79,97,79,0.071830615401268,0.007966474862769246,-0.06386414053849876,0.21739012002944946,0.4799063205718994,4.0,0.0,0.05583522468805313,seq,0
EC03_row38320,3,1900,38320,C97,C82,97,82,0.06605120003223419,0.004187263315543532,-0.06186393671669066,-0.7332764267921448,-1.1274847984313965,5.0,0.0,0.046974435448646545,seq,0
EC03_row38320,3,1900,38320,C97,C98,97,98,0.1200246810913086,0.0034423430915921926,-0.1165823379997164,0.0,0.0,0.0,0.0,0.1276281625032425,seq,0
