variant,auc,acc,rmse
full,0.7783152874552688,0.7407124681933842,0.4177628660714798
no_A,0.767132729913772,0.7320414954002741,0.42220921876330686
no_E,0.7633669337459796,0.7308866705813271,0.4246636167411234
E_shuffle,0.5751072021849873,0.6333920532393815,0.5070403758022731
E_mean,0.6064877484755,0.6635936582501468,0.48268771858412896
