dataset,group,method,n_eval,hit5,hit10,ndcg10,mrr,noisy_or_mean,max_score_mean
assist_09,all,degree-random,60861,0.016085834935344472,0.04180016759501158,0.017062944741106496,0.02837906090119249,0.26085535644917046,0.013384431403046619
assist_09,all,fused CRG,60861,0.2843200078868241,0.45426463580946747,0.2470607504376404,0.20789889746238374,0.5326930352911934,0.22983384482634964
assist_09,all,item-only,60861,0.14738502489278849,0.2532984998603375,0.12059566973221093,0.10142909888619608,0.3258480990049668,0.2885315591559753
assist_09,all,random,60861,0.029657744696932355,0.06746520760421287,0.02714124625011998,0.03338313483530175,0.26012402275445734,0.0158748873145395
assist_09,all,self-only,60861,0.24646325232907773,0.42748229572304103,0.20715478671727297,0.16381617150215322,0.9675325742265162,0.9675325742265162
assist_09,all,seq-only,60861,0.27022230985360085,0.43007837531424065,0.24444321620287646,0.2134871460676812,0.49874734710624147,0.12563148575947763
assist_09,direct_seen,degree-random,58885,0.015776513543347203,0.04109705357900993,0.01677087099006059,0.028126034497580676,0.26140661790801867,0.0133669102621866
assist_09,direct_seen,fused CRG,58885,0.29156831111488496,0.4642268829073618,0.2531909032219658,0.21275834049404535,0.5419276596849626,0.23405466317587847
assist_09,direct_seen,item-only,58885,0.15029294387365202,0.257943449095695,0.12300443725508933,0.10320761978971343,0.3324439687800628,0.2942057899558567
assist_09,direct_seen,random,58885,0.029362316379383545,0.06747049333446549,0.02699996513836533,0.0331200719139584,0.2606799769831209,0.015868923664851046
assist_09,direct_seen,self-only,58885,0.2547338031756814,0.44182729048144687,0.21410626601681157,0.16877520376129582,1.0,1.0
assist_09,direct_seen,seq-only,58885,0.2763182474314341,0.43853273329370807,0.250015018729894,0.21815555473829312,0.5070562910043567,0.1278461582919277
assist_09,direct_unseen,degree-random,1976,0.025303643724696356,0.06275303643724696,0.02576677208439503,0.035919273338784384,0.24442770917980106,0.013906563174070014
assist_09,direct_unseen,fused CRG,1976,0.06831983805668017,0.15738866396761134,0.06438157700393504,0.06308700327240642,0.2575002936782906,0.10405303080205552
assist_09,direct_unseen,item-only,1976,0.06072874493927125,0.11487854251012146,0.04881415374805335,0.04842899594914149,0.12929051210894843,0.11943890700465057
assist_09,direct_unseen,random,1976,0.038461538461538464,0.0673076923076923,0.03135143768011626,0.04122243651713535,0.24355653046961168,0.016052604678863668
assist_09,direct_unseen,self-only,1976,0.0,0.0,0.0,0.01603650825336155,0.0,0.0
assist_09,direct_unseen,seq-only,1976,0.08856275303643725,0.17813765182186234,0.07840293695012938,0.07436809517244715,0.2511399779561808,0.05963402013532672
assist_09,direct_unseen_bridgeable,degree-random,1976,0.025303643724696356,0.06275303643724696,0.02576677208439503,0.035919273338784384,0.24442770917980106,0.013906563174070014
assist_09,direct_unseen_bridgeable,fused CRG,1976,0.06831983805668017,0.15738866396761134,0.06438157700393504,0.06308700327240642,0.2575002936782906,0.10405303080205552
assist_09,direct_unseen_bridgeable,item-only,1976,0.06072874493927125,0.11487854251012146,0.04881415374805335,0.04842899594914149,0.12929051210894843,0.11943890700465057
assist_09,direct_unseen_bridgeable,random,1976,0.038461538461538464,0.0673076923076923,0.03135143768011626,0.04122243651713535,0.24355653046961168,0.016052604678863668
assist_09,direct_unseen_bridgeable,self-only,1976,0.0,0.0,0.0,0.01603650825336155,0.0,0.0
assist_09,direct_unseen_bridgeable,seq-only,1976,0.08856275303643725,0.17813765182186234,0.07840293695012938,0.07436809517244715,0.2511399779561808,0.05963402013532672
