dataset,event_id,student_id_anonymized,source_concept,query_concept,route_prob,history_size
assist_17,16,S1,2,35,0.03909916803240776,73
assist_17,16,S2,65,35,0.022570360451936722,73
assist_17,16,S3,33,35,0.01790773682296276,73
assist_17,16,S4,62,35,0.01763264462351799,73
assist_17,16,S5,66,35,0.010920451954007149,73
assist_17,105,S6,12,14,0.24829261004924774,49
assist_17,105,S7,7,14,0.15411806106567383,49
assist_17,105,S8,33,14,0.15139587223529816,49
assist_17,105,S9,64,14,0.14999720454216003,49
assist_17,105,S10,34,14,0.1315196454524994,49
