dataset,corruption_type,corruption_ratio,seed,subgroup,n_eval,auc,auc_drop_from_clean,bce,bce_increase_from_clean,clean_auc,clean_bce,mean_support_size,train_only_candidate_check_passed,evidence_minus_degree_random_auc_drop,evidence_minus_degree_random_bce_increase,bootstrap_ci_low,bootstrap_ci_high,claim_status
assist_09,evidence_support_corruption,0.0,42,all,51090,0.7749625115704916,0.0,0.5306856842390956,1.0105249970138175e-12,0.7749625115704916,0.530685684238085,12.95121955871582,True,0.0,-6.38378239159465e-14,-0.001181392166829187,0.00128768838467338,strong_evidence_gap
assist_09,evidence_support_corruption,0.0,42,graph_hits_history,50529,0.7747343984728776,0.0,0.5304816721570949,1.0217382495625316e-12,0.7747343984728776,0.5304816721560731,12.95121955871582,True,0.0,-6.472600233564663e-14,-0.000996145282239813,0.001205054319276999,strong_evidence_gap
assist_09,evidence_support_corruption,0.0,42,high_support_mass,12637,0.7517428414785654,0.0,0.5042190769861724,-1.6387113888072236e-11,0.7517428414785654,0.5042190770025595,12.95121955871582,True,0.0,7.159717263505172e-12,0.005555286537763782,0.010119961001836753,strong_evidence_gap
assist_09,evidence_support_corruption,0.0,42,query_seq_top5_q4_high,12141,0.7977910437182193,0.0,0.4961423703474239,0.0,0.7977910437182193,0.4961423703474239,12.95121955871582,True,0.0,0.0,-0.008778564950994971,0.0015225356443721583,support_dependence_only
assist_09,evidence_support_corruption,0.0,42,multi_concept,8419,0.7517166715298291,0.0,0.5485938352920474,6.132538921121977e-12,0.7517166715298291,0.5485938352859149,12.95121955871582,True,0.0,-3.878009025015672e-13,-0.011218260100813416,-0.004729382085202227,support_dependence_only
assist_09,evidence_support_corruption,0.0,42,direct_seen,49506,0.7725773773390823,0.0,0.5350407899965773,1.042721464727947e-12,0.7725773773390823,0.5350407899955346,12.95121955871582,True,0.0,-6.605826996519681e-14,-0.002708551067175069,-0.0002113623142453336,support_dependence_only
assist_09,evidence_support_corruption,0.0,42,direct_unseen,1584,0.8180371860752316,0.0,0.39457213270507263,0.0,0.8180371860752316,0.39457213270507263,12.95121955871582,True,0.0,0.0,-0.00205473566362141,0.002715177644161759,strong_evidence_gap
assist_09,evidence_support_corruption,0.0,42,direct_unseen_bridgeable,1584,0.8180371860752316,0.0,0.39457213270507263,0.0,0.8180371860752316,0.39457213270507263,12.95121955871582,True,0.0,0.0,-0.00205473566362141,0.002715177644161759,strong_evidence_gap
assist_09,evidence_support_corruption,0.0,42,high_seq_support,12141,0.7977910437182193,0.0,0.4961423703474239,0.0,0.7977910437182193,0.4961423703474239,12.95121955871582,True,0.0,0.0,-0.008778564950994971,0.0015225356443721583,support_dependence_only
assist_09,evidence_support_corruption,0.0,42,high_crg_mass,12637,0.7517428414785654,0.0,0.5042190769861724,-1.6387113888072236e-11,0.7517428414785654,0.5042190770025595,12.95121955871582,True,0.0,7.159717263505172e-12,0.005555286537763782,0.010119961001836753,strong_evidence_gap
assist_09,evidence_support_corruption,0.0,42,short_history,25670,0.7829021260955762,0.0,0.5480025828682722,1.0078493595244709e-11,0.7829021260955762,0.5480025828581937,12.95121955871582,True,0.0,-3.6518565948995274e-12,-0.012244199951429757,-0.007984426398851729,support_dependence_only
assist_09,evidence_support_corruption,0.0,42,long_history,25420,0.7576159861184599,0.0,0.5131984777949193,-8.146372465489549e-12,0.7576159861184599,0.5131984778030657,12.95121955871582,True,0.0,3.559375016948252e-12,0.008677748972003085,0.01052287234727144,strong_evidence_gap
assist_09,evidence_support_corruption,0.25,42,all,51090,0.7702015840193313,0.00476092755116031,0.5354155121574196,0.004729827919334517,0.7749625115704916,0.530685684238085,9.959349632263184,True,0.003935443584024756,0.0038399112596269047,-0.001181392166829187,0.00128768838467338,strong_evidence_gap
assist_09,evidence_support_corruption,0.25,42,graph_hits_history,50529,0.769820386945874,0.004914011527003659,0.5353445165575655,0.004862844401492428,0.7747343984728776,0.5304816721560731,9.959349632263184,True,0.004062762986149826,0.00393688022489036,-0.000996145282239813,0.001205054319276999,strong_evidence_gap
assist_09,evidence_support_corruption,0.25,42,high_support_mass,12637,0.7457222653035751,0.0060205761749903,0.5114761064421915,0.007257029439632023,0.7517428414785654,0.5042190770025595,9.959349632263184,True,0.0059871336053811675,0.006930233774279038,0.005555286537763782,0.010119961001836753,strong_evidence_gap
assist_09,evidence_support_corruption,0.25,42,query_seq_top5_q4_high,12141,0.7887487141990285,0.009042329519190817,0.5083756427008437,0.012233272353419755,0.7977910437182193,0.4961423703474239,9.959349632263184,True,0.008595754863710892,0.012116585843422345,-0.008778564950994971,0.0015225356443721583,support_dependence_only
assist_09,evidence_support_corruption,0.25,42,multi_concept,8419,0.7420374564132071,0.009679215116622064,0.5620485207300655,0.013454685444150627,0.7517166715298291,0.5485938352859149,9.959349632263184,True,0.008302468089144921,0.010539142478783958,-0.011218260100813416,-0.004729382085202227,support_dependence_only
assist_09,evidence_support_corruption,0.25,42,direct_seen,49506,0.7678807530982996,0.004696624240782654,0.5397732979983927,0.004732508002858071,0.7725773773390823,0.5350407899955346,9.959349632263184,True,0.0038987225606562648,0.003880675943077505,-0.002708551067175069,-0.0002113623142453336,support_dependence_only
assist_09,evidence_support_corruption,0.25,42,direct_unseen,1584,0.8075707765471897,0.010466409528041898,0.39921819786246104,0.004646065157388413,0.8180371860752316,0.39457213270507263,9.959349632263184,True,0.0066166956786472,0.002565860490116645,-0.00205473566362141,0.002715177644161759,strong_evidence_gap
assist_09,evidence_support_corruption,0.25,42,direct_unseen_bridgeable,1584,0.8075707765471897,0.010466409528041898,0.39921819786246104,0.004646065157388413,0.8180371860752316,0.39457213270507263,9.959349632263184,True,0.0066166956786472,0.002565860490116645,-0.00205473566362141,0.002715177644161759,strong_evidence_gap
assist_09,evidence_support_corruption,0.25,42,high_seq_support,12141,0.7887487141990285,0.009042329519190817,0.5083756427008437,0.012233272353419755,0.7977910437182193,0.4961423703474239,9.959349632263184,True,0.008595754863710892,0.012116585843422345,-0.008778564950994971,0.0015225356443721583,support_dependence_only
assist_09,evidence_support_corruption,0.25,42,high_crg_mass,12637,0.7457222653035751,0.0060205761749903,0.5114761064421915,0.007257029439632023,0.7517428414785654,0.5042190770025595,9.959349632263184,True,0.0059871336053811675,0.006930233774279038,0.005555286537763782,0.010119961001836753,strong_evidence_gap
assist_09,evidence_support_corruption,0.25,42,short_history,25670,0.7779250168244263,0.004977109271149915,0.552095884858579,0.004093302000385268,0.7829021260955762,0.5480025828581937,9.959349632263184,True,0.0035690912739723135,0.0031585094602328834,-0.012244199951429757,-0.007984426398851729,support_dependence_only
assist_09,evidence_support_corruption,0.25,42,long_history,25420,0.7527911841105037,0.004824802007956208,0.5185710917310327,0.005372613927966952,0.7576159861184599,0.5131984778030657,9.959349632263184,True,0.004323489997747232,0.004528014492925614,0.008677748972003085,0.01052287234727144,strong_evidence_gap
assist_09,evidence_support_corruption,0.25,43,all,51090,0.7702015840193313,0.00476092755116031,0.5354155121543038,0.004729827916218787,0.7749625115704916,0.530685684238085,9.959349632263184,True,0.001965680217998589,0.003364806097070794,-0.001181392166829187,0.00128768838467338,strong_evidence_gap
assist_09,evidence_support_corruption,0.25,43,graph_hits_history,50529,0.769820386945874,0.004914011527003659,0.5353445165544152,0.004862844398342059,0.7747343984728776,0.5304816721560731,9.959349632263184,True,0.0021156268938961054,0.003489282465439225,-0.000996145282239813,0.001205054319276999,strong_evidence_gap
assist_09,evidence_support_corruption,0.25,43,high_support_mass,12637,0.7457222653035751,0.0060205761749903,0.5114761064578113,0.007257029455251751,0.7517428414785654,0.5042190770025595,9.959349632263184,True,0.005340193948630834,0.00717411240566368,0.005555286537763782,0.010119961001836753,strong_evidence_gap
assist_09,evidence_support_corruption,0.25,43,query_seq_top5_q4_high,12141,0.7887487141990285,0.009042329519190817,0.5083756427008437,0.012233272353419755,0.7977910437182193,0.4961423703474239,9.959349632263184,True,0.006356169048302718,0.009629012983024599,-0.008778564950994971,0.0015225356443721583,support_dependence_only
assist_09,evidence_support_corruption,0.25,43,multi_concept,8419,0.7420374564132071,0.009679215116622064,0.5620485207111579,0.013454685425242974,0.7517166715298291,0.5485938352859149,9.959349632263184,True,0.009523444853165364,0.014345681811399391,-0.011218260100813416,-0.004729382085202227,support_dependence_only
