dataset,subgroup,corruption_ratio,evidence_minus_degree_random_auc_drop,bootstrap_ci_low,bootstrap_ci_high,evidence_minus_degree_random_bce_increase,bce_bootstrap_ci_low,bce_bootstrap_ci_high,claim_status
assist_09,all,1.0,0.00020203925234760778,-0.001181392166829187,0.00128768838467338,0.0015900159216145405,0.000481617111431798,0.002601201820536325,strong_evidence_gap
assist_09,direct_seen,1.0,-0.0012756231932022244,-0.002708551067175069,-0.0002113623142453336,0.0006119000421918264,-0.000601934569951268,0.0017003457121145592,support_dependence_only
assist_09,direct_unseen,1.0,0.0006933413208348949,-0.00205473566362141,0.002715177644161759,0.03215984213796604,0.02982352999479339,0.03467058265970869,strong_evidence_gap
assist_09,direct_unseen_bridgeable,1.0,0.0006933413208348949,-0.00205473566362141,0.002715177644161759,0.03215984213796604,0.02982352999479339,0.03467058265970869,strong_evidence_gap
assist_09,graph_hits_history,1.0,0.0002015784829859868,-0.000996145282239813,0.001205054319276999,0.0015540363342265938,0.00037617466051718116,0.0025154968264427978,strong_evidence_gap
assist_09,high_crg_mass,1.0,0.008057321603975631,0.005555286537763782,0.010119961001836753,0.010688601506089523,0.009453688145255,0.012119834005736362,strong_evidence_gap
assist_09,high_seq_support,1.0,-0.0019954943917857683,-0.008778564950994971,0.0015225356443721583,-0.0022081004648858648,-0.007340760917447819,0.00023072382641365906,support_dependence_only
assist_09,high_support_mass,1.0,0.008057321603975631,0.005555286537763782,0.010119961001836753,0.010688601506089523,0.009453688145255,0.012119834005736362,strong_evidence_gap
assist_09,long_history,1.0,0.00958808566601188,0.008677748972003085,0.01052287234727144,0.0107555600643519,0.010239177447038905,0.011468831527122548,strong_evidence_gap
assist_09,multi_concept,1.0,-0.007809599299008885,-0.011218260100813416,-0.004729382085202227,-0.0075242860197757945,-0.01049385555160769,-0.004714036797597599,support_dependence_only
assist_09,query_seq_top5_q4_high,1.0,-0.0019954943917857683,-0.008778564950994971,0.0015225356443721583,-0.0022081004648858648,-0.007340760917447819,0.00023072382641365906,support_dependence_only
assist_09,short_history,1.0,-0.010221654136703017,-0.012244199951429757,-0.007984426398851729,-0.0074862650331337655,-0.009796070922736589,-0.005429607437510864,support_dependence_only
