dataset,candidate_type,query_key,query_item_id,query_concept_id,support_signature,support_concepts_signature,support_size,n_total,n_records_sampled,n_learners,n_positive,n_negative,has_both_labels,support_identical_check_passed,mean_pairwise_l1,mean_pairwise_js,cheap_variability,posterior_variability_check_passed,score
nips34,same_query_concept_slot,80,,80,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,32;30;29;80;31;18;0;20;14;4;42;54;8;35;58;81;45;23;21;60;46;25;2;59;32;29;30;18;80;31;0;20;42;4;14;8;23;54;35;81;58;21;45;60;25;46;59;2;32;30;29;80;31;18;0;20;14;4;42;54;8;35;58;81;45;23;21;60;46;25;59;2;32;29;30;18;80;31;0;20;42;4;14;8;23;54;81;35;58;21;45;60;25;46;2;59,96,3062,320,1489,1432,1630,True,True,0.008771639575781233,3.048750745151406e-05,0.00652588641123252,False,2.7395467294995375
nips34,same_query_concept_slot,9,,9,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,14;74;38;16;9;81;23;17;40;13;36;10;12;0;20;4;8;54;35;58;42;45;80;60;14;38;16;74;23;9;81;17;36;10;40;13;12;0;20;4;8;54;35;58;42;80;45;60;14;74;38;16;9;81;23;17;40;13;36;10;12;0;20;4;8;54;35;58;42;45;80;60;14;38;16;74;23;9;81;17;36;10;40;13;12;0;20;4;8;54;35;58;42;80;45;60,96,3229,320,1071,2284,945,True,True,0.021775074481268964,0.00013187979489950663,0.016022925238321828,False,2.720030727823942
nips34,same_query_concept_slot,25,,25,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,42;21;25;18;0;20;14;4;80;54;8;35;58;45;81;32;23;60;28;46;2;59;29;1;42;21;25;18;0;20;80;4;14;54;8;35;23;32;58;81;28;45;60;46;59;2;29;1;42;21;25;18;0;20;14;4;80;54;8;35;58;45;81;32;23;60;28;46;59;2;29;1;42;21;25;18;0;20;80;4;14;54;8;35;23;32;58;81;28;45;60;46;2;59;29;1,96,1508,320,1008,770,738,True,True,0.002045919401248708,7.4357550284357755e-06,0.0015843558504211707,False,2.6937471644567235
nips34,same_query_concept_slot,29,,29,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,80;32;29;18;0;20;14;4;42;54;8;35;58;45;81;21;23;60;25;2;59;30;61;1;80;32;29;18;0;20;42;4;14;8;54;35;23;58;81;21;45;60;25;59;30;2;61;1;80;32;29;18;0;20;14;4;42;54;8;35;58;45;81;21;23;60;25;59;2;30;61;1;80;32;29;18;0;20;42;4;14;8;54;35;23;58;81;21;45;60;25;30;59;2;61;1,96,1371,320,799,524,847,True,True,0.012418230380505421,0.00016074607423672066,0.009631001898521443,False,2.6815223874442453
nips34,same_query_concept_slot,6,,6,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,69;70;64;68;66;6;65;1;67;0;20;14;4;42;80;8;54;58;35;45;32;81;60;23;69;70;64;68;1;66;6;65;67;0;20;4;80;42;14;8;58;35;54;32;23;81;45;60;69;70;64;68;66;6;65;1;67;0;20;14;4;42;80;8;54;35;58;45;81;32;60;23;69;70;64;68;1;66;6;65;67;0;20;4;80;42;14;8;58;35;54;32;23;81;45;60,96,1371,320,489,594,777,True,True,0.05283314313787637,0.0012856461361672547,0.040328353608401556,False,2.6774162667930126
nips34,same_query_concept_slot,21,,21,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,42;25;21;18;0;20;14;4;80;54;8;35;58;45;81;32;23;24;60;46;59;29;61;1;42;25;21;18;0;20;80;4;14;8;54;35;24;58;23;32;81;45;60;46;59;29;61;1;42;25;21;18;0;20;14;4;80;8;54;35;58;45;81;32;23;24;60;46;59;29;61;1;42;25;21;18;0;20;80;4;14;8;54;35;24;58;23;32;81;45;60;46;59;29;61;1,96,1243,320,653,732,511,True,True,0.0026359729952125724,1.1962230005032595e-05,0.0019459855780875168,False,2.6509945570609523
nips34,same_query_concept_slot,18,,18,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103,20;42;18;80;21;45;32;28;46;78;41;26;24;0;33;51;14;4;54;8;35;58;81;60;22;48;20;42;80;18;21;45;28;32;46;24;41;26;78;0;33;4;14;54;8;35;58;23;81;60;22;48;20;42;18;80;21;45;32;28;46;78;41;26;24;0;33;51;14;4;54;8;35;58;81;60;22;48;20;42;80;18;21;45;28;32;46;24;41;26;78;0;33;4;14;54;8;35;58;23;81;60;22;48,104,769,320,564,462,307,True,True,0.013915642971154005,0.00025893625940789385,0.01085803574998154,False,2.6486339611234295
nips34,same_query_concept_slot,42,,42,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,21;25;43;85;42;18;0;20;14;4;80;54;8;35;58;81;45;32;23;24;60;28;46;59;21;25;43;18;42;85;0;20;80;4;14;8;54;35;24;23;58;32;81;28;45;60;46;59;21;25;43;85;42;18;0;20;14;4;80;54;8;35;58;81;45;32;23;24;60;28;46;59;21;25;43;18;42;85;0;20;80;4;14;8;54;35;24;23;58;32;81;28;45;60;46;59,96,1125,320,582,454,671,True,True,0.009212346703036533,3.188823737011892e-05,0.006168100030825444,False,2.6461586182875663
nips34,same_query_concept_slot,18,,18,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,20;42;18;80;21;45;32;28;46;78;41;26;24;0;33;51;14;4;54;8;35;58;81;60;43;20;42;80;18;21;45;28;32;46;24;41;26;78;0;33;4;14;54;8;35;58;23;81;60;43;20;42;18;80;21;45;32;28;46;78;41;26;24;0;33;51;14;4;54;8;35;58;81;60;43;20;42;80;18;21;45;28;32;46;24;41;26;78;0;33;4;14;54;8;35;58;23;81;60;43,100,616,320,483,323,293,True,True,0.012128530516422334,0.00027739046823965064,0.009334944480786618,False,2.6314465830610443
nips34,same_query_concept_slot,63,,63,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,3;1;0;63;20;14;4;6;54;8;35;42;80;58;45;60;38;16;23;46;2;17;59;61;1;0;3;63;20;4;14;6;8;80;54;35;42;58;45;38;16;60;23;46;59;2;17;61;3;1;0;63;20;14;4;6;54;8;35;42;80;58;45;38;60;16;23;46;59;2;17;61;1;0;3;63;20;4;14;6;54;8;80;35;42;58;45;38;16;60;23;46;2;17;59;61,96,38,38,34,17,21,True,True,0.03739594074999589,0.00029605151274553557,0.02823561244606773,False,2.3941149529499195
nips34,same_query_concept_slot,49,,49,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,34;18;0;49;20;14;4;54;8;35;42;58;80;45;74;60;38;16;23;46;2;17;59;61;18;0;34;49;20;4;14;8;54;35;42;58;80;45;38;16;60;74;23;46;2;59;17;61;34;18;0;49;20;14;4;54;8;35;42;58;80;45;74;38;60;16;23;46;59;2;17;61;18;0;34;49;20;4;14;54;8;35;42;58;80;45;38;16;60;74;23;46;2;17;59;61,96,24,24,23,11,13,True,True,0.009359347596976235,2.0472975563399178e-05,0.006556767833897183,False,2.3272466225340245
