dataset,candidate_type,query_concept_id,support_signature,support_size,n_total,n_records_sampled,n_learners,n_positive,n_negative,has_both_labels,support_identical_check_passed,mean_pairwise_l1,mean_pairwise_js,posterior_variability_check_passed,score
assist_09,same_query_concept,33,30;32;33;41;44;46;48;51;79;81;82;97;98,13,1230,320,551,1002,228,True,True,0.0019871796388879004,2.404268142931064e-05,False,2.633438154992315
assist_09,same_query_concept,4,4;7;9;11;13;14;30;48;49;80;82;98;99,13,295,295,176,253,42,True,True,0.09990252064505019,0.003750009829202952,False,2.6325175332192448
assist_09,same_query_concept,47,30;32;33;38;44;47;48;49;51;79;81;82;98,13,563,320,271,222,341,True,True,0.062172552050388234,0.001763882115468038,False,2.62980828714186
assist_09,same_query_concept,53,30;33;34;37;41;46;49;52;53;79;81;82,12,512,320,191,339,173,True,True,0.08773927194333513,0.0036162121149252067,False,2.627953657605814
assist_09,same_query_concept,34,30;32;33;34;35;41;46;53;79;81;82;98,12,676,320,268,528,148,True,True,0.057101233945556974,0.002353601557829775,False,2.6259867781370603
assist_09,same_query_concept,97,30;33;38;42;46;55;79;81;82;96;97;98;99,13,906,320,332,541,365,True,True,0.03916012910023454,0.0006788093866380493,False,2.6226896156448305
assist_09,same_query_concept,51,1;22;29;30;32;33;44;46;47;48;49;51;53,13,611,320,292,257,354,True,True,0.048940203800853864,0.0012148433159954418,False,2.6218168379665423
assist_09,same_query_concept,45,14;30;32;37;45;55;58;79;81;82;97;98,12,1393,320,458,908,485,True,True,0.005916013839690335,0.000271762719514952,False,2.6199080857238046
assist_09,same_query_concept,92,6;29;30;33;42;48;79;81;82;92;98;99;106,13,269,269,160,147,122,True,True,0.09322712601315056,0.0034247691266809832,False,2.615066639018321
assist_09,same_query_concept,119,1;5;7;8;9;11;30;44;56;98;99;106;119,13,322,320,152,193,129,True,True,0.09239174858925325,0.003414889967173592,False,2.609095100597191
assist_09,same_query_concept,55,30;32;37;38;42;45;55;79;80;81;82;97;98,13,729,320,399,614,115,True,True,0.007959071576087478,0.00026093264259192066,False,2.6081492568572533
assist_09,same_query_concept,18,12;14;15;16;17;18;29;30;33;82;98;106,12,237,237,151,163,74,True,True,0.09193576628568283,0.003404322789942892,False,2.6079411095300817
assist_09,same_query_concept,5,5;6;7;8;9;10;11;14;49;98;106;119,12,387,320,235,251,136,True,True,0.05407482289407012,0.0007675980373022157,False,2.60352839554584
assist_09,same_query_concept,56,20;30;32;37;42;55;56;79;81;82;96;98;106,13,477,320,229,360,117,True,True,0.05328300609436902,0.0011889132604016672,False,2.6018465900282957
assist_09,same_query_concept,63,14;20;29;30;48;63;79;81;97;98;99;106,12,247,247,164,167,80,True,True,0.07787265826117766,0.0018319819673185925,False,2.59579513352051
assist_09,same_query_concept,106,5;7;8;9;11;18;25;56;98;99;106;119,12,1001,320,241,494,507,True,True,0.04197089527414545,0.0008642891456239498,False,2.59432182447231
assist_09,same_query_concept,89,7;20;26;29;44;88;89;90;93;94;98;99,12,574,320,139,412,162,True,True,0.0873513620411477,0.002427409801565106,False,2.5912252435083385
assist_09,same_query_concept,13,0;6;9;12;13;14;30;48;49;55;58;79;98,13,1121,320,301,570,551,True,True,0.006443083728030289,0.0001907684009853918,False,2.578248859069459
assist_09,same_query_concept,94,7;30;33;44;88;89;90;93;94;98;99;101,12,203,203,149,172,31,True,True,0.05803458488561291,0.002460562664061011,False,2.568940364951483
assist_09,same_query_concept,46,33;34;35;39;46;49;52;53;79;81;82;97;98,13,777,320,264,640,137,True,True,0.00805553683934316,4.681717953571175e-05,False,2.566215788156108
assist_09,same_query_concept,52,6;9;30;41;44;46;49;51;52;53;79;82;98,13,345,320,174,271,74,True,True,0.03416325355189173,0.001028068167349435,False,2.554754123613641
assist_09,same_query_concept,37,6;30;32;37;45;55;79;80;81;82;97;98,12,332,320,157,287,45,True,True,0.04596519676077783,0.0005583913689638602,False,2.5544582655393295
assist_09,same_query_concept,36,30;36;38;42;44;46;49;55;79;81;82;97;98,13,184,184,103,119,65,True,True,0.07771326002780213,0.002164852089463877,False,2.550811758299795
assist_09,same_query_concept,60,1;30;32;33;44;47;48;51;60;79;98;99;106,13,170,170,111,99,71,True,True,0.058684659652197296,0.002451962928761385,False,2.5403423984967524
assist_09,same_query_concept,86,13;20;29;30;32;48;49;79;82;86;98;99;106,13,347,320,126,184,163,True,True,0.051316954466211304,0.0010930698537668802,False,2.540107942527138
assist_09,same_query_concept,95,13;20;29;30;42;48;49;79;82;89;95;98;99,13,342,320,112,212,130,True,True,0.05842417265808649,0.0014342062496255298,False,2.5368997795278228
assist_09,same_query_concept,104,14;20;29;30;45;55;58;81;82;98;99;104,12,220,220,133,185,35,True,True,0.035800393456159395,0.00045626782833578294,False,2.527409444764593
assist_09,same_query_concept,103,13;14;30;48;55;58;78;80;82;98;99;103,12,173,173,94,92,81,True,True,0.06514565256069092,0.0014373247546462865,False,2.52628264073933
assist_09,same_query_concept,27,14;18;20;27;30;32;58;79;81;82;96;98,12,108,108,86,70,38,True,True,0.07051717163795525,0.001981025540683725,False,2.5250320856661483
assist_09,same_query_concept,88,7;33;44;79;87;88;89;90;93;94;98;99,12,73,73,61,68,5,True,True,0.08584666859656824,0.0033891153482086935,False,2.5121165684939126
assist_09,same_query_concept,67,13;20;30;33;48;55;67;79;81;82;98;99,12,89,89,67,76,13,True,True,0.07983612275444539,0.0019349255940160706,False,2.5095265956481208
assist_09,same_query_concept,91,5;6;20;30;33;79;82;88;91;92;98;99,12,92,92,65,32,60,True,True,0.07701835322091603,0.0031494303414614008,False,2.508581548789404
assist_09,same_query_concept,58,12;13;14;30;32;45;48;58;79;81;96;98;104,13,232,232,140,104,128,True,True,0.004377238347099606,0.00022787212325098066,False,2.5001647158779203
assist_09,same_query_concept,66,4;7;20;30;33;48;61;62;66;79;98;99;106,13,88,88,76,62,26,True,True,0.053416819050955584,0.0020940903115876292,False,2.4961737224826743
assist_09,same_query_concept,8,5;6;7;8;9;10;11;14;30;33;98;106,12,117,117,97,54,63,True,True,0.02465710527357598,0.0013495397369524798,False,2.4885520120884435
assist_09,same_query_concept,57,20;29;30;48;49;57;63;79;81;82;98;99,12,94,94,67,62,32,True,True,0.06143342766699475,0.0012900528270143859,False,2.488544409492663
assist_09,same_query_concept,3,3;14;30;33;46;48;56;64;97;98;99;106;121,13,295,295,113,170,125,True,True,0.002797372911284472,6.987644994211278e-05,False,2.476696723550503
assist_09,same_query_concept,101,7;30;33;44;82;88;89;90;93;94;98;99;101,13,56,56,51,45,11,True,True,0.06400367001004102,0.0014442158040930408,False,2.4649049050845555
assist_09,same_query_concept,54,30;33;46;49;52;53;54;79;81;82;96;98,12,116,116,68,92,24,True,True,0.037423062748908296,0.0008113080691199663,False,2.4640789454851144
