fraction,group,n,auc_drop_mean,auc_drop_std,bce_increase_mean,bce_increase_std,union_preservation_mean
0.0,all,51090,0.0,,1.5311085732605534e-12,,1.0
0.25,all,51090,0.0018786971281267606,0.0005617915514773404,0.00250375607823905,0.001044133112589185,0.746938775510204
0.5,all,51090,0.0037193193063912444,0.0003310953120126095,0.0023733103457209913,0.0011117548724691904,0.5035374149659864
0.75,all,51090,0.008268754814463075,0.0028292338090435366,0.004988411800063886,0.0021987336423117962,0.2440816326530612
1.0,all,51090,0.01375414158450925,0.0017229071125334857,0.0059853112348015715,0.0009790267250049712,0.0
0.0,graph_hits_history,50529,0.0,,1.5480949855373183e-12,,1.0
0.25,graph_hits_history,50529,0.0018838245453825174,0.0005243697498922295,0.0025009607661550027,0.0010189676661046681,0.746938775510204
0.5,graph_hits_history,50529,0.003733155542557998,0.0003244375309108932,0.0023891522577759615,0.0010905516074214837,0.5035374149659864
0.75,graph_hits_history,50529,0.00827299850506218,0.0027867138622648265,0.0049711911333882195,0.0021698427825515773,0.2440816326530612
1.0,graph_hits_history,50529,0.01372616014898458,0.0018101731747678068,0.005947861480022576,0.0010297451379790773,0.0
0.0,high_support_mass,12637,0.0,,0.0,,1.0
0.25,high_support_mass,12637,0.0011790403964187846,0.0003759568031290379,0.0020806909332876434,0.0015263630491049044,0.746938775510204
0.5,high_support_mass,12637,0.003151814899740657,0.001075636874362896,0.0023496978400732614,0.000826744066990677,0.5035374149659864
0.75,high_support_mass,12637,0.006067272902898857,0.0012035309129143222,0.004054839498036755,0.0016916242635825808,0.2440816326530612
1.0,high_support_mass,12637,0.012101090634183898,0.005784537093055351,0.007594190336478434,0.0033855573433508724,0.0
0.0,multi_concept,8419,0.0,,9.290679336970697e-12,,1.0
0.25,multi_concept,8419,0.002898308228110702,0.0011244717999964139,0.0037274908507288094,0.002488132595423753,0.746938775510204
0.5,multi_concept,8419,0.0032582008882382496,0.0019340460836658605,0.003185543378473521,0.0031740344102169516,0.5035374149659864
0.75,multi_concept,8419,0.010172978281476364,0.0023180210022655545,0.00797870266152354,0.001324462041190529,0.2440816326530612
1.0,multi_concept,8419,0.014909928391639649,0.009368909061102638,0.009421762342545636,0.005660478574393238,0.0
0.0,query_seq_top5_q4_high,12141,0.0,,0.0,,1.0
0.25,query_seq_top5_q4_high,12141,0.0018643231277092997,0.0006759649337170204,0.004150614818062459,0.003256376148503436,0.746938775510204
0.5,query_seq_top5_q4_high,12141,0.003866106944919112,0.0021952135400246965,0.0036789457628293,0.001058889421370138,0.5035374149659864
0.75,query_seq_top5_q4_high,12141,0.007888119743024991,0.006047906113996901,0.006395576993598773,0.005356575873707052,0.2440816326530612
1.0,query_seq_top5_q4_high,12141,0.015496523891513458,0.008195622324878237,0.009245214603773467,0.006285685071841742,0.0
