epoch,train_loss,train_bce_loss,train_reg_loss,train_auc,train_acc,train_rmse,val_loss,val_bce_loss,val_reg_loss,val_auc,val_acc,val_rmse
1,0.63612210829007,0.6203836814353341,0.015738427037324167,0.6196459717657703,0.6672253957807383,0.4641908660752244,0.580893449485302,0.577380058914423,0.003513389284489676,0.7134533764423637,0.6975717439293598,0.4436298335261622
2,0.541056235840446,0.5380123145486179,0.0030439205081692258,0.763551462237051,0.7280257495282509,0.4248642627552336,0.5487241543829441,0.5455441534519195,0.003180001361761242,0.7602262545365293,0.7258768702477312,0.42662501942444253
3,0.5020098500345883,0.49968420361217697,0.0023256469971353285,0.8061668868153566,0.7497236347556931,0.4073238668209322,0.549173291772604,0.5473275743424892,0.0018457145430147647,0.7642217789228279,0.7276919303409369,0.42527376781964815
4,0.48601896268756767,0.4840339444185558,0.0019850179203785958,0.8198210256585398,0.7572047776480932,0.40068904641495195,0.5710304759442806,0.5693278707563877,0.0017026084649842232,0.7660068956349149,0.7268089281334315,0.4244062462485018
5,0.47698240640916323,0.47521249510739977,0.00176991174628615,0.8273120155876982,0.7620585225899665,0.3967899967385324,0.5940260410308837,0.5921743921935558,0.0018516454700147733,0.7660761781571362,0.7315182732401275,0.4246404571527257
6,0.4689792216608399,0.4673496068308228,0.0016296155076768054,0.8327348160284168,0.7648041791566618,0.3937516583301803,0.6060274392366409,0.604625292122364,0.0014021448834682815,0.7660428587161232,0.7305862153544272,0.42507024773490637
7,0.4625959268526027,0.4610915078144324,0.0015044191417186276,0.8371870002564787,0.7686861467743678,0.39102438536747436,0.6150204546749591,0.6136949054896832,0.0013255495752673597,0.7671337087039998,0.728084375766495,0.42481528082607123
8,0.45547909901330347,0.4540581661619638,0.0014209321926740048,0.8420143970181946,0.7710358940608466,0.38816674153917,0.6318537093698978,0.6305387414991855,0.0013149675301974638,0.7666714440135092,0.73102771645818,0.4250099650785485
9,0.4437878258918461,0.44267463017451136,0.0011131952427891327,0.8500164767441414,0.7768819830427428,0.3834067228629775,0.6462659001350403,0.6452553816139698,0.001010522252181545,0.7659754698275227,0.729261712043169,0.4264443859297486
10,0.4396936708375027,0.4386084806762244,0.001085189748923049,0.8531087754004547,0.7798178817311004,0.38142081717709003,0.6652517810463905,0.6642355367541313,0.001016244942729827,0.7657768776611403,0.7307824380672063,0.4262940354967314
11,0.43677846530550407,0.43570343106985093,0.0010750340628682782,0.8554073050900437,0.7811752849775566,0.37994833334607325,0.6608791686594486,0.6598978757858276,0.000981296962709166,0.7657689839749234,0.7308805494235958,0.4264125867954974
12,0.4339066891293777,0.43286548445099277,0.001041204521836909,0.8574535399455535,0.7831291229838191,0.3786707864206202,0.6726095780730248,0.6715939611196518,0.0010156177479075268,0.7648016403888477,0.7268579838116261,0.4280167783964578
