fraction,group,n,auc_drop_mean,auc_drop_std,bce_increase_mean,bce_increase_std,union_preservation_mean
0.0,all,60494,0.0,,0.0,,1.0
0.25,all,60494,0.0002293248278525395,7.842145681717538e-05,-0.00021985974352395354,0.0002472275471405524,0.7476083467094703
0.5,all,60494,0.0004676257486640356,0.0001397164321690169,-0.0004629480907667349,0.0005236655762778816,0.4983627608346709
0.75,all,60494,0.001195181897075215,0.00012854671081088433,-0.00020251092661666137,0.0007258270834030783,0.24744783306581059
1.0,all,60494,0.0029312028320543915,0.0005404272878730439,-0.003727738895081245,0.0004193760444851065,0.0
0.0,graph_hits_history,60473,0.0,,0.0,,1.0
0.25,graph_hits_history,60473,0.0002286722748626735,7.910222719056388e-05,-0.0002202619955735674,0.0002481049090719604,0.7476083467094703
0.5,graph_hits_history,60473,0.0004693242941541831,0.00014101622995978238,-0.00045900828470304413,0.0005241482811551536,0.4983627608346709
0.75,graph_hits_history,60473,0.0011931344039843195,0.00012899345524994548,-0.0002045963187406352,0.0007267609183234278,0.24744783306581059
1.0,graph_hits_history,60473,0.0029258994896195654,0.0005398306064183259,-0.0037251802962330995,0.00041917026602637694,0.0
0.0,high_support_mass,15119,0.0,,0.0,,1.0
0.25,high_support_mass,15119,0.0002580999878444734,0.0002580977653531169,-3.992392165012015e-05,0.0002957799116340042,0.7476083467094703
0.5,high_support_mass,15119,0.0004202749404010886,0.00037863925292736596,-0.0003175742269127979,0.000498623216406803,0.4983627608346709
0.75,high_support_mass,15119,0.0012143631224126761,0.0004518160437324694,2.4540373429193796e-05,0.000684886754515492,0.24744783306581059
1.0,high_support_mass,15119,0.0021937862110099626,0.0005844871041681815,-0.001936795408589842,0.0006620736589537963,0.0
0.0,query_seq_top5_q4_high,14777,0.0,,0.0,,1.0
0.25,query_seq_top5_q4_high,14777,0.00013726651855028305,0.00018982064014211311,-0.0003723191477108423,0.00026690382201871354,0.7476083467094703
0.5,query_seq_top5_q4_high,14777,0.00042111063767484856,0.0004313840676918901,-0.0005498307357231225,0.0006413193646649799,0.4983627608346709
0.75,query_seq_top5_q4_high,14777,0.0009238465093277304,0.0008840080678780924,-0.0007803650453141909,0.0012929076260612927,0.24744783306581059
1.0,query_seq_top5_q4_high,14777,0.001766941089602403,0.0006721430387592508,-0.0034150575425980654,0.0014931510298074636,0.0
