dataset,corruption_type,corruption_ratio,seed,subgroup,n_eval,auc,auc_drop_from_clean,bce,bce_increase_from_clean,clean_auc,clean_bce,mean_support_size,train_only_candidate_check_passed,evidence_minus_degree_random_auc_drop,evidence_minus_degree_random_bce_increase,bootstrap_ci_low,bootstrap_ci_high,claim_status,source_file,metric,degree_auc_drop,degree_bce_increase,requested_subgroup
assist_09,evidence_support_corruption,0.25,42,high_support_mass,12637,0.7457222653035751,0.0060205761749903,0.5114761064421915,0.007257029439632,0.7517428414785654,0.5042190770025595,9.959349632263184,True,0.0059871336053811675,0.0069302337742791,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,3.344256960913228e-05,0.0003267956653529,high_crg_mass
assist_09,evidence_support_corruption,0.25,42,query_seq_top5_q4_high,12141,0.7887487141990285,0.0090423295191908,0.5083756427008437,0.0122332723534197,0.7977910437182193,0.4961423703474239,9.959349632263184,True,0.0085957548637109,0.0121165858434223,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0004465746554799,0.0001166865099974,high_seq_support
assist_09,evidence_support_corruption,0.25,42,multi_concept,8419,0.7420374564132071,0.009679215116622,0.5620485207300655,0.0134546854441506,0.7517166715298291,0.5485938352859149,9.959349632263184,True,0.0083024680891449,0.010539142478784,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0013767470274771,0.0029155429653666,direct_seen
assist_09,evidence_support_corruption,0.25,42,direct_seen,49506,0.7678807530982996,0.0046966242407826,0.5397732979983927,0.004732508002858,0.7725773773390823,0.5350407899955346,9.959349632263184,True,0.0038987225606563003,0.0038806759430775003,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0007979016801263,0.0008518320597805,direct_seen
assist_09,evidence_support_corruption,0.25,42,direct_unseen,1584,0.8075707765471897,0.0104664095280418,0.399218197862461,0.0046460651573884,0.8180371860752316,0.3945721327050726,9.959349632263184,True,0.006616695678647201,0.0025658604901166995,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0038497138493946,0.0020802046672717,direct_unseen
assist_09,evidence_support_corruption,0.25,42,direct_unseen_bridgeable,1584,0.8075707765471897,0.0104664095280418,0.399218197862461,0.0046460651573884,0.8180371860752316,0.3945721327050726,9.959349632263184,True,0.006616695678647201,0.0025658604901166995,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0038497138493946,0.0020802046672717,direct_unseen_bridgeable
assist_09,evidence_support_corruption,0.25,42,high_seq_support,12141,0.7887487141990285,0.0090423295191908,0.5083756427008437,0.0122332723534197,0.7977910437182193,0.4961423703474239,9.959349632263184,True,0.0085957548637109,0.0121165858434223,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0004465746554799,0.0001166865099974,high_seq_support
assist_09,evidence_support_corruption,0.25,42,high_crg_mass,12637,0.7457222653035751,0.0060205761749903,0.5114761064421915,0.007257029439632,0.7517428414785654,0.5042190770025595,9.959349632263184,True,0.0059871336053811675,0.0069302337742791,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,3.344256960913228e-05,0.0003267956653529,high_crg_mass
assist_09,evidence_support_corruption,0.25,42,short_history,25670,0.7779250168244263,0.0049771092711499,0.552095884858579,0.0040933020003852,0.7829021260955762,0.5480025828581937,9.959349632263184,True,0.0035690912739722996,0.0031585094602329,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0014080179971776,0.0009347925401523,short_history
assist_09,evidence_support_corruption,0.25,42,long_history,25420,0.7527911841105037,0.0048248020079562,0.5185710917310327,0.0053726139279669,0.7576159861184599,0.5131984778030657,9.959349632263184,True,0.0043234899977473,0.0045280144929256,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0005013120102089,0.0008445994350413,long_history
assist_09,evidence_support_corruption,0.25,43,all,51090,0.7702015840193313,0.0047609275511603,0.5354155121543038,0.0047298279162187,0.7749625115704916,0.530685684238085,9.959349632263184,True,0.0019656802179986005,0.0033648060970708,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0027952473331617,0.0013650218191479,all
assist_09,evidence_support_corruption,0.25,43,graph_hits_history,50529,0.769820386945874,0.0049140115270036,0.5353445165544152,0.004862844398342,0.7747343984728776,0.5304816721560731,9.959349632263184,True,0.0021156268938960997,0.0034892824654392,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0027983846331075,0.0013735619329028,direct_unseen_bridgeable
assist_09,evidence_support_corruption,0.25,43,high_support_mass,12637,0.7457222653035751,0.0060205761749903,0.5114761064578113,0.0072570294552517,0.7517428414785654,0.5042190770025595,9.959349632263184,True,0.0053401939486308996,0.007174112405663628,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0006803822263594,8.291704958807156e-05,high_crg_mass
assist_09,evidence_support_corruption,0.25,43,query_seq_top5_q4_high,12141,0.7887487141990285,0.0090423295191908,0.5083756427008437,0.0122332723534197,0.7977910437182193,0.4961423703474239,9.959349632263184,True,0.006356169048302799,0.0096290129830246,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.002686160470888,0.0026042593703951,high_seq_support
assist_09,evidence_support_corruption,0.25,43,multi_concept,8419,0.7420374564132071,0.009679215116622,0.5620485207111579,0.0134546854252429,0.7517166715298291,0.5485938352859149,9.959349632263184,True,0.0095234448531653,0.0143456818113993,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0001557702634567,-0.0008909963861564,direct_seen
assist_09,evidence_support_corruption,0.25,43,direct_seen,49506,0.7678807530982996,0.0046966242407826,0.5397732979951773,0.0047325079996426,0.7725773773390823,0.5350407899955346,9.959349632263184,True,0.0019756027490834003,0.0034428659458949,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0027210214916992,0.0012896420537477,direct_seen
assist_09,evidence_support_corruption,0.25,43,direct_unseen,1584,0.8075707765471897,0.0104664095280418,0.399218197862461,0.0046460651573884,0.8180371860752316,0.3945721327050726,9.959349632263184,True,0.001539394504828,0.0009251401400693997,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0089270150232138,0.003720925017319,direct_unseen
assist_09,evidence_support_corruption,0.25,43,direct_unseen_bridgeable,1584,0.8075707765471897,0.0104664095280418,0.399218197862461,0.0046460651573884,0.8180371860752316,0.3945721327050726,9.959349632263184,True,0.001539394504828,0.0009251401400693997,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0089270150232138,0.003720925017319,direct_unseen_bridgeable
assist_09,evidence_support_corruption,0.25,43,high_seq_support,12141,0.7887487141990285,0.0090423295191908,0.5083756427008437,0.0122332723534197,0.7977910437182193,0.4961423703474239,9.959349632263184,True,0.006356169048302799,0.0096290129830246,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.002686160470888,0.0026042593703951,high_seq_support
