"dataset","single_rate","multi_concept_item_rate","item_density","seq_density","direct_unseen","bridge_only","student_train_count_median","dataset_label","best_crg_hit10","random_hit10","self_hit10","retrieval_lift","corruption_drop","full","no_LCRF","LCRF_shuffle","LCRF_mean","no_filter_drop","shuffle_drop"
"assist_09",0.82834027085654,0.17165972914346,0.00866320138611222,0.643342662934826,0.0310041103512049,0.0310041103512049,41,"ASSIST09",0.367313034398288,0.135773307524171,0.112379720171042,0.231539726874117,0.0137541415845092,0.778315287455269,0.76336693374598,0.575107202184987,0.6064877484755,0.0149483537092892,0.203208085270281
"junyi",1,0,0,0.251898530648592,1,0.999652862548828,25,"Junyi",0.164815068123575,0.0170794261010187,0.00204821702379552,0.147735642022556,0.00293120283205439,0.829113204623713,0.828602786395978,0.818803836596359,0.825850818715683,0.00051041822773501,0.0103093680273539
"assist_17",0.78252363873492,0.21747636126508,0.0617821782178218,0.763465346534653,0.0278148092329502,0.0278148092329502,148,"ASSIST17",0.411255970196446,0.161761046673102,0.132023555796769,0.249494923523344,0.002804707012635,0.784681630597249,0.78292658216307,0.596575272211027,0.644123796630028,0.0017550484341794,0.188106358386222
"nips34",0,1,0.0634746922024624,0.982216142270862,0,0,191,NA,NA,NA,NA,NA,NA,0.790325910654509,0.773327551333301,0.508321439706151,0.504963567634576,0.0169983593212086,0.282004470948358
