"dataset","dataset_label","Sparse item evidence","Bridge-only samples","CRG retrieval lift","CRG corruption drop","LCRF no-filter drop","LCRF shuffle drop"
"assist_09","ASSIST09",0.991336798613888,0.0310041103512049,0.231539726874117,0.0137541415845092,0.0149483537092892,0.203208085270281
"junyi","Junyi",1,0.999652862548828,0.147735642022556,0.00293120283205439,0.00051041822773501,0.0103093680273539
"assist_17","ASSIST17",0.938217821782178,0.0278148092329502,0.249494923523344,0.002804707012635,0.0017550484341794,0.188106358386222
"nips34","NIPS34",0.936525307797538,0,NA,NA,0.0169983593212086,0.282004470948358
