dataset,group,method,n_eval,hit5,hit10,ndcg10,mrr,noisy_or_mean,max_score_mean
junyi,all,degree-random,60494,0.007620590471782326,0.015191589248520515,0.0069349735220525285,0.010545266951189932,0.056861842005083554,0.005597441077945194
junyi,all,fused CRG,60494,0.0667834826594373,0.13784838165768507,0.061412241832317374,0.06168762640661435,0.23123098803183548,0.02268853380217368
junyi,all,item-only,60494,0.0,0.0,0.0,0.0,0.0,0.0
junyi,all,random,60494,0.009769563923694912,0.019109333157007306,0.00899392073064081,0.0122726637993147,0.05704970366246476,0.0027902988087115613
junyi,all,self-only,60494,0.0,0.0,0.0,0.005001265339850136,0.0,0.0
junyi,all,seq-only,60494,0.0667834826594373,0.13784838165768507,0.061412241832317374,0.06168762640661435,0.23123098803183548,0.02268853380217368
junyi,direct_unseen,degree-random,60494,0.007620590471782326,0.015191589248520515,0.0069349735220525285,0.010545266951189932,0.056861842005083554,0.005597441077945194
junyi,direct_unseen,fused CRG,60494,0.0667834826594373,0.13784838165768507,0.061412241832317374,0.06168762640661435,0.23123098803183548,0.02268853380217368
junyi,direct_unseen,item-only,60494,0.0,0.0,0.0,0.0,0.0,0.0
junyi,direct_unseen,random,60494,0.009769563923694912,0.019109333157007306,0.00899392073064081,0.0122726637993147,0.05704970366246476,0.0027902988087115613
junyi,direct_unseen,self-only,60494,0.0,0.0,0.0,0.005001265339850136,0.0,0.0
junyi,direct_unseen,seq-only,60494,0.0667834826594373,0.13784838165768507,0.061412241832317374,0.06168762640661435,0.23123098803183548,0.02268853380217368
junyi,direct_unseen_bridgeable,degree-random,60478,0.007622606567677503,0.015195608320380964,0.006936808231804055,0.01054666227646195,0.0568647485393387,0.005595991486168872
junyi,direct_unseen_bridgeable,fused CRG,60478,0.0668011508317074,0.13788485068950693,0.061428488994414616,0.06170354601372881,0.23129216227384927,0.02269453625828722
junyi,direct_unseen_bridgeable,item-only,60478,0.0,0.0,0.0,0.0,0.0,0.0
junyi,direct_unseen_bridgeable,random,60478,0.009755613611561229,0.019097853765005456,0.008979765215109382,0.012258266781972208,0.05705258703599341,0.002790313129201614
junyi,direct_unseen_bridgeable,self-only,60478,0.0,0.0,0.0,0.005001068725950144,0.0,0.0
junyi,direct_unseen_bridgeable,seq-only,60478,0.0668011508317074,0.13788485068950693,0.061428488994414616,0.06170354601372881,0.23129216227384927,0.02269453625828722
