dataset,subgroup,variant,n_eval,auc,bce,rmse,acc,auc_gap_full_minus_variant,bce_gap_variant_minus_full
junyi,all,full,60494,0.8291132046237132,0.48913678634747826,0.40075457090853267,0.7688200482692499,0.0,0.0
junyi,all,no_CRG,60494,0.8278444921937922,0.49045475941786604,0.4010565386247366,0.7690845373094852,0.0012687124299209929,0.001317973070387779
junyi,all,no_LCRF,60494,0.8286027863959782,0.4859841871614747,0.3994366559537232,0.7701259629054121,0.00051041822773501,-0.0031525991860035796
junyi,all,self_only,60494,0.8275617283340393,0.500702468359148,0.4036793535275343,0.7695143319998677,0.001551476289673892,0.011565682011669742
junyi,all,degree_random_support,60494,0.8285382861370219,0.4886644843886809,0.40062493358506623,0.7684398452739115,0.0005749184866913337,-0.0004723019587973831
junyi,direct_unseen,full,60494,0.8291132046237132,0.48913678634747826,0.40075457090853267,0.7688200482692499,0.0,0.0
junyi,direct_unseen,no_CRG,60494,0.8278444921937922,0.49045475941786604,0.4010565386247366,0.7690845373094852,0.0012687124299209929,0.001317973070387779
junyi,direct_unseen,no_LCRF,60494,0.8286027863959782,0.4859841871614747,0.3994366559537232,0.7701259629054121,0.00051041822773501,-0.0031525991860035796
junyi,direct_unseen,self_only,60494,0.8275617283340393,0.500702468359148,0.4036793535275343,0.7695143319998677,0.001551476289673892,0.011565682011669742
junyi,direct_unseen,degree_random_support,60494,0.8285382861370219,0.4886644843886809,0.40062493358506623,0.7684398452739115,0.0005749184866913337,-0.0004723019587973831
junyi,direct_unseen_bridgeable,full,60478,0.8291156567575168,0.4890311042584276,0.40069941536961134,0.7689242369125964,0.0,0.0
junyi,direct_unseen_bridgeable,no_CRG,60478,0.8279057106839333,0.4902988244395314,0.40097988580881605,0.7691887959257911,0.00120994607358349,0.0012677201811037708
junyi,direct_unseen_bridgeable,no_LCRF,60478,0.8286265450278831,0.4858755367970917,0.39938088546730804,0.7701974271635966,0.0004891117296336178,-0.003155567461335884
junyi,direct_unseen_bridgeable,self_only,60478,0.8275806040492616,0.5005753603333185,0.4036132735146459,0.7696187043222329,0.001535052708255158,0.011544256074890902
junyi,direct_unseen_bridgeable,degree_random_support,60478,0.8285463702815122,0.4885556778088234,0.40056760024894994,0.7685439333311287,0.0005692864760045158,-0.00047542644960418823
junyi,direct_unseen_unbridgeable,full,16,0.3214285714285714,0.8886018726977595,0.572444048640276,0.375,0.0,0.0
junyi,direct_unseen_unbridgeable,no_CRG,16,0.3571428571428572,1.0798694856506033,0.6270780070340102,0.375,-0.03571428571428581,0.19126761295284378
junyi,direct_unseen_unbridgeable,no_LCRF,16,0.2857142857142857,0.8966689832336101,0.5726646027621961,0.5,0.0357142857142857,0.00806711053585063
junyi,direct_unseen_unbridgeable,self_only,16,0.39285714285714285,0.981154917491023,0.6038194112820074,0.375,-0.07142857142857145,0.09255304479326354
junyi,direct_unseen_unbridgeable,degree_random_support,16,0.39285714285714285,0.8999397554276101,0.5780389691799548,0.375,-0.07142857142857145,0.01133788272985059
junyi,weak_direct_evidence,full,60494,0.8291132046237132,0.48913678634747826,0.40075457090853267,0.7688200482692499,0.0,0.0
junyi,weak_direct_evidence,no_CRG,60494,0.8278444921937922,0.49045475941786604,0.4010565386247366,0.7690845373094852,0.0012687124299209929,0.001317973070387779
junyi,weak_direct_evidence,no_LCRF,60494,0.8286027863959782,0.4859841871614747,0.3994366559537232,0.7701259629054121,0.00051041822773501,-0.0031525991860035796
junyi,weak_direct_evidence,self_only,60494,0.8275617283340393,0.500702468359148,0.4036793535275343,0.7695143319998677,0.001551476289673892,0.011565682011669742
junyi,weak_direct_evidence,degree_random_support,60494,0.8285382861370219,0.4886644843886809,0.40062493358506623,0.7684398452739115,0.0005749184866913337,-0.0004723019587973831
junyi,high_route_mass,full,18148,0.7980273095475325,0.38557604164698406,0.3456585980379108,0.8395966497685695,0.0,0.0
junyi,high_route_mass,no_CRG,18148,0.7955118217748502,0.3873555727518894,0.34705719302832877,0.8373374476526338,0.00251548777268229,0.001779531104905363
junyi,high_route_mass,no_LCRF,18148,0.7962995152145895,0.3843351127556738,0.34546426432957833,0.8386048049371831,0.0017277943329430112,-0.0012409288913102778
junyi,high_route_mass,self_only,18148,0.7988924507732389,0.3941691309033668,0.347721309767303,0.83810888252149,-0.0008651412257063562,0.008593089256382747
junyi,high_route_mass,degree_random_support,18148,0.7976426811026484,0.38496113559133344,0.34547380808469375,0.8393211373154067,0.000384628444884183,-0.0006149060556506214
junyi,low_route_mass,full,18148,0.7993270916489233,0.5564653210066164,0.43334086804935096,0.7206854749834692,0.0,0.0
junyi,low_route_mass,no_CRG,18148,0.8017839348165343,0.5531135111942174,0.43077831503771535,0.728014106237602,-0.002456843167610967,-0.0033518098123990203
junyi,low_route_mass,no_LCRF,18148,0.7997676814983683,0.5486389710721153,0.429774573454808,0.7254793916685034,-0.00044058984944495005,-0.007826349934501042
junyi,low_route_mass,self_only,18148,0.7958801156845793,0.5715058780730345,0.43759342409192775,0.7225589596649769,0.003446975964344068,0.015040557066418159
junyi,low_route_mass,degree_random_support,18148,0.798074924192439,0.5562497129406518,0.43326216615875107,0.7205752700022041,0.0012521674564843766,-0.0002156080659645454
