variant,pairs,weight_sum,mrr,hit@1,ndcg@1,hit@3,ndcg@3,hit@5,ndcg@5,hit@10,ndcg@10
A_fused_prior,294609,215853.44999999998,0.14238311994773126,0.050078096968104995,0.050078096968104995,0.12490048224848853,0.09253448405667586,0.18757003883885112,0.11812977038030405,0.33332666214044765,0.16486930495430782
A_item_only,294609,215853.44999999998,0.10204560006789412,0.03400492324769421,0.03400492324769421,0.08879501346862885,0.06537103433874487,0.127523141279419,0.08134482772445574,0.21602239853011385,0.10970596643834482
A_seq_only,294609,215853.44999999998,0.19871830147911262,0.09220371506686596,0.09220371506686596,0.20519861971166087,0.1572463308660632,0.27144787354568584,0.1843971369431507,0.4112559701964459,0.22933946430524527
A_support_uniform,294609,215853.44999999998,0.07812265004415209,0.01848587548635428,0.01848587548635428,0.0490733875228772,0.03523020201845709,0.07791925493894121,0.046643935274883086,0.15497454407145222,0.0723957773342035
A_degree_random,294609,215853.44999999998,0.07498821683843683,0.01782431552518619,0.01782431552518619,0.04924646791607916,0.03512012290179223,0.08104063196580828,0.04795974094012915,0.16176104667310157,0.07449683334382554
A_uniform_offdiag,294609,215853.44999999998,0.07499462866337349,0.018482632545368163,0.018482632545368163,0.04907190503556927,0.035225012698334376,0.0779103136873652,0.046631428464581445,0.1543659367038146,0.07220656397846595
A_self_only,294609,215853.44999999998,0.06042890329644943,0.0,0.0,0.038731787701331614,0.021785820375182657,0.07109707998644452,0.03475956727834515,0.13202355579676858,0.055392067835939064
