dataset,variant,seeds,auc_mean,bce_mean,acc_mean,rmse_mean
assist_12,full,1,0.7019780936804425,,0.690196604710461,0.450954217345494
assist_12,no_CRG,1,0.7010050840801034,,0.7542776622156613,0.4140138420691048
assist_12,no_LCRF,1,0.6941951171208838,,0.7543447627994364,0.4149534824099575
