dataset,candidate_type,query_concept_id,support_signature,support_size,n_total,n_records_sampled,n_learners,n_positive,n_negative,has_both_labels,support_identical_check_passed,mean_pairwise_l1,mean_pairwise_js,posterior_variability_check_passed,score
assist_09,same_query_concept,68,30;33;38;42;55;68;70;79;81;82;97;98;99,13,39,39,26,27,12,True,True,0.138288481740208,0.0081906992567928,True,2.500634965367812
assist_09,same_query_concept,82,30;32;33;37;38;42;55;79;80;81;82;98,12,1874,320,743,1193,681,True,True,0.0697337445007164,0.0020711233600638,False,2.739222341424281
assist_09,same_query_concept,79,30;32;33;34;37;38;42;55;56;79;81;82;98,13,2252,320,679,1349,903,True,True,0.0690580550969743,0.0017349335505735,False,2.728207069116284
assist_09,same_query_concept,81,30;32;37;42;55;56;79;80;81;82;97;98,12,1306,320,590,1023,283,True,True,0.0669764788454032,0.001808990578286,False,2.7123940428991578
assist_09,same_query_concept,98,14;30;32;33;55;59;79;81;97;98;99;106,12,4417,320,666,3036,1381,True,True,0.0541339742666692,0.0019420747456704,False,2.712181277840913
assist_09,same_query_concept,80,22;30;37;38;42;49;55;78;79;80;81;82,12,901,320,433,509,392,True,True,0.0793024399710794,0.0051815772028092,False,2.7073332021923573
assist_09,same_query_concept,14,6;12;13;14;18;29;30;45;49;58;96;98,12,1009,320,399,774,235,True,True,0.0833873246328675,0.0018190241659395,False,2.689809876007424
assist_09,same_query_concept,30,1;30;32;33;39;44;47;48;79;81;82;98,12,3311,320,797,2069,1242,True,True,0.0179992000991505,0.000347193592311,False,2.687598834213376
assist_09,same_query_concept,48,1;24;30;31;32;33;39;44;47;48;49;51;58;80;98,15,1487,320,520,839,648,True,True,0.0445902199348427,0.0014832436561869,False,2.676098198734927
assist_09,same_query_concept,6,5;6;8;9;10;11;12;13;14;30;37;40;98,13,1231,320,387,918,313,True,True,0.0701856274798589,0.0013791462796153,False,2.6718027465606475
assist_09,same_query_concept,7,1;4;7;8;9;30;44;88;93;94;98;99,12,1162,320,371,817,345,True,True,0.0703629225380827,0.0023678886833512,False,2.6717238626988022
assist_09,same_query_concept,42,30;32;38;42;49;55;78;79;80;81;82;98,12,1107,320,450,753,354,True,True,0.0522387741395292,0.0012889905273733,False,2.6685414701992904
assist_09,same_query_concept,99,7;44;57;63;81;88;90;93;94;97;98;99,12,1435,320,335,1090,345,True,True,0.0691535047209919,0.0018861407961709,False,2.658409183901996
assist_09,same_query_concept,38,30;38;42;44;49;55;78;79;80;81;82;97;98,13,863,320,402,591,272,True,True,0.0532497234210419,0.00127967126144,False,2.6582620646614705
assist_09,same_query_concept,11,0;5;6;7;8;9;10;11;13;30;98;106,12,527,320,294,395,132,True,True,0.0770948508172297,0.0018042793489858,False,2.653009503847155
assist_09,same_query_concept,9,0;4;5;6;7;8;9;10;11;30;98;106,12,655,320,325,440,215,True,True,0.0690755444802689,0.0011336387883954,False,2.6522998377705216
assist_09,same_query_concept,49,1;29;30;31;32;39;44;48;49;51;52;80;82;98,14,1646,320,527,1055,591,True,True,0.0172148101690167,0.0001902364526901,False,2.6448853843504034
assist_09,same_query_concept,32,30;32;33;42;49;55;58;79;80;81;82;98,12,1362,320,553,1002,360,True,True,0.0098333322344433,0.0001662004978122,False,2.642214602900421
assist_09,same_query_concept,41,30;32;33;34;41;42;44;49;53;79;81;82;98,13,620,320,258,377,243,True,True,0.0721352961727096,0.0033379686618538,False,2.6411699769900787
assist_09,same_query_concept,44,1;7;24;30;33;39;44;48;49;79;88;98;99,13,1190,320,541,674,516,True,True,0.0090325039439625,7.543373640788756e-05,False,2.6388608390335584
assist_09,same_query_concept,96,14;20;30;32;46;56;79;81;82;96;97;98,12,579,320,277,326,253,True,True,0.0696412846547562,0.0012674837332358,False,2.6374733309567637
assist_09,same_query_concept,33,30;32;33;41;44;46;48;51;79;81;82;97;98,13,1230,320,551,1002,228,True,True,0.0019871796388879,2.404268142931064e-05,False,2.633438154992315
assist_09,same_query_concept,4,4;7;9;11;13;14;30;48;49;80;82;98;99,13,295,295,176,253,42,True,True,0.0999025206450501,0.0037500098292029,False,2.6325175332192448
assist_09,same_query_concept,47,30;32;33;38;44;47;48;49;51;79;81;82;98,13,563,320,271,222,341,True,True,0.0621725520503882,0.001763882115468,False,2.62980828714186
assist_09,same_query_concept,53,30;33;34;37;41;46;49;52;53;79;81;82,12,512,320,191,339,173,True,True,0.0877392719433351,0.0036162121149252,False,2.627953657605814
assist_09,same_query_concept,34,30;32;33;34;35;41;46;53;79;81;82;98,12,676,320,268,528,148,True,True,0.0571012339455569,0.0023536015578297,False,2.6259867781370603
assist_09,same_query_concept,97,30;33;38;42;46;55;79;81;82;96;97;98;99,13,906,320,332,541,365,True,True,0.0391601291002345,0.000678809386638,False,2.6226896156448305
assist_09,same_query_concept,51,1;22;29;30;32;33;44;46;47;48;49;51;53,13,611,320,292,257,354,True,True,0.0489402038008538,0.0012148433159954,False,2.6218168379665423
assist_09,same_query_concept,45,14;30;32;37;45;55;58;79;81;82;97;98,12,1393,320,458,908,485,True,True,0.0059160138396903,0.0002717627195149,False,2.6199080857238046
assist_09,same_query_concept,92,6;29;30;33;42;48;79;81;82;92;98;99;106,13,269,269,160,147,122,True,True,0.0932271260131505,0.0034247691266809,False,2.615066639018321
assist_09,same_query_concept,119,1;5;7;8;9;11;30;44;56;98;99;106;119,13,322,320,152,193,129,True,True,0.0923917485892532,0.0034148899671735,False,2.609095100597191
assist_09,same_query_concept,55,30;32;37;38;42;45;55;79;80;81;82;97;98,13,729,320,399,614,115,True,True,0.0079590715760874,0.0002609326425919,False,2.6081492568572533
assist_09,same_query_concept,18,12;14;15;16;17;18;29;30;33;82;98;106,12,237,237,151,163,74,True,True,0.0919357662856828,0.0034043227899428,False,2.6079411095300817
assist_09,same_query_concept,5,5;6;7;8;9;10;11;14;49;98;106;119,12,387,320,235,251,136,True,True,0.0540748228940701,0.0007675980373022,False,2.60352839554584
assist_09,same_query_concept,56,20;30;32;37;42;55;56;79;81;82;96;98;106,13,477,320,229,360,117,True,True,0.053283006094369,0.0011889132604016,False,2.601846590028296
assist_09,same_query_concept,63,14;20;29;30;48;63;79;81;97;98;99;106,12,247,247,164,167,80,True,True,0.0778726582611776,0.0018319819673185,False,2.59579513352051
assist_09,same_query_concept,106,5;7;8;9;11;18;25;56;98;99;106;119,12,1001,320,241,494,507,True,True,0.0419708952741454,0.0008642891456239,False,2.59432182447231
assist_09,same_query_concept,89,7;20;26;29;44;88;89;90;93;94;98;99,12,574,320,139,412,162,True,True,0.0873513620411477,0.0024274098015651,False,2.5912252435083385
assist_09,same_query_concept,13,0;6;9;12;13;14;30;48;49;55;58;79;98,13,1121,320,301,570,551,True,True,0.0064430837280302,0.0001907684009853,False,2.578248859069459
assist_09,same_query_concept,94,7;30;33;44;88;89;90;93;94;98;99;101,12,203,203,149,172,31,True,True,0.0580345848856129,0.002460562664061,False,2.568940364951483
assist_09,same_query_concept,46,33;34;35;39;46;49;52;53;79;81;82;97;98,13,777,320,264,640,137,True,True,0.0080555368393431,4.681717953571175e-05,False,2.566215788156108
assist_09,same_query_concept,52,6;9;30;41;44;46;49;51;52;53;79;82;98,13,345,320,174,271,74,True,True,0.0341632535518917,0.0010280681673494,False,2.554754123613641
assist_09,same_query_concept,37,6;30;32;37;45;55;79;80;81;82;97;98,12,332,320,157,287,45,True,True,0.0459651967607778,0.0005583913689638,False,2.554458265539329
assist_09,same_query_concept,36,30;36;38;42;44;46;49;55;79;81;82;97;98,13,184,184,103,119,65,True,True,0.0777132600278021,0.0021648520894638,False,2.550811758299795
assist_09,same_query_concept,60,1;30;32;33;44;47;48;51;60;79;98;99;106,13,170,170,111,99,71,True,True,0.0586846596521972,0.0024519629287613,False,2.5403423984967524
assist_09,same_query_concept,86,13;20;29;30;32;48;49;79;82;86;98;99;106,13,347,320,126,184,163,True,True,0.0513169544662113,0.0010930698537668,False,2.540107942527138
assist_09,same_query_concept,95,13;20;29;30;42;48;49;79;82;89;95;98;99,13,342,320,112,212,130,True,True,0.0584241726580864,0.0014342062496255,False,2.5368997795278228
assist_09,same_query_concept,104,14;20;29;30;45;55;58;81;82;98;99;104,12,220,220,133,185,35,True,True,0.0358003934561593,0.0004562678283357,False,2.527409444764593
assist_09,same_query_concept,103,13;14;30;48;55;58;78;80;82;98;99;103,12,173,173,94,92,81,True,True,0.0651456525606909,0.0014373247546462,False,2.52628264073933
assist_09,same_query_concept,27,14;18;20;27;30;32;58;79;81;82;96;98,12,108,108,86,70,38,True,True,0.0705171716379552,0.0019810255406837,False,2.5250320856661483
assist_09,same_query_concept,88,7;33;44;79;87;88;89;90;93;94;98;99,12,73,73,61,68,5,True,True,0.0858466685965682,0.0033891153482086,False,2.5121165684939126
assist_09,same_query_concept,67,13;20;30;33;48;55;67;79;81;82;98;99,12,89,89,67,76,13,True,True,0.0798361227544453,0.001934925594016,False,2.5095265956481208
assist_09,same_query_concept,91,5;6;20;30;33;79;82;88;91;92;98;99,12,92,92,65,32,60,True,True,0.077018353220916,0.0031494303414614,False,2.508581548789404
assist_09,same_query_concept,58,12;13;14;30;32;45;48;58;79;81;96;98;104,13,232,232,140,104,128,True,True,0.0043772383470996,0.0002278721232509,False,2.5001647158779203
assist_09,same_query_concept,66,4;7;20;30;33;48;61;62;66;79;98;99;106,13,88,88,76,62,26,True,True,0.0534168190509555,0.0020940903115876,False,2.4961737224826743
assist_09,same_query_concept,8,5;6;7;8;9;10;11;14;30;33;98;106,12,117,117,97,54,63,True,True,0.0246571052735759,0.0013495397369524,False,2.4885520120884435
assist_09,same_query_concept,57,20;29;30;48;49;57;63;79;81;82;98;99,12,94,94,67,62,32,True,True,0.0614334276669947,0.0012900528270143,False,2.488544409492663
assist_09,same_query_concept,3,3;14;30;33;46;48;56;64;97;98;99;106;121,13,295,295,113,170,125,True,True,0.0027973729112844,6.987644994211278e-05,False,2.476696723550503
assist_09,same_query_concept,101,7;30;33;44;82;88;89;90;93;94;98;99;101,13,56,56,51,45,11,True,True,0.064003670010041,0.001444215804093,False,2.4649049050845555
assist_09,same_query_concept,54,30;33;46;49;52;53;54;79;81;82;96;98,12,116,116,68,92,24,True,True,0.0374230627489082,0.0008113080691199,False,2.4640789454851144
assist_09,same_query_concept,70,30;32;33;38;42;55;70;79;81;82;97;98;99,13,67,67,42,19,48,True,True,0.0698202911320781,0.0019431150279685,False,2.4537127628133084
assist_09,same_query_concept,85,12;13;14;18;20;29;49;82;83;84;85;98,12,85,85,65,44,41,True,True,0.0263086556619346,0.0012039642016609,False,2.450089986671221
assist_09,same_query_concept,15,15;16;18;20;25;30;46;49;79;82;98;99;106,13,78,78,58,52,26,True,True,0.0351416374167068,0.000866464249034,False,2.446361238803415
assist_09,same_query_concept,16,15;16;18;20;25;30;46;79;81;82;98;99;106,13,104,104,77,66,38,True,True,0.0057039067127745,0.0002337700436282,False,2.442309869556247
assist_09,same_query_concept,22,22;29;30;37;43;46;51;79;80;81;82;96;98,13,96,96,72,56,40,True,True,0.0097286598378172,6.665311535099179e-05,False,2.4390412164140605
assist_09,same_query_concept,84,12;13;14;18;29;30;49;82;83;84;85;98,12,81,81,61,7,74,True,True,0.0249135589320662,0.0003215401796661,False,2.43891315815524
assist_09,same_query_concept,0,0;5;6;7;9;11;12;13;14;46;49;98,12,100,100,51,75,25,True,True,0.0384950307612688,0.0004303936647152,False,2.4353409772782726
assist_09,same_query_concept,50,7;20;29;30;44;46;48;49;50;51;79;82;98,13,60,60,39,43,17,True,True,0.0589493782919893,0.001335315705983,False,2.433178586527315
assist_09,same_query_concept,1,1;7;24;30;31;32;33;44;48;49;51;106,12,57,57,50,43,14,True,True,0.0123870980166583,0.0001316098287257,False,2.406096100603994
assist_09,same_query_concept,61,30;33;49;61;62;66;79;81;82;98;99;106,12,36,36,31,22,14,True,True,0.0150056497319167,0.0004959930772413,False,2.3635632123208548
assist_17,same_query_concept,14,2;4;5;7;10;12;13;14;20;24;26;28;32;33;34;37;38;45;53;56;57;59;62;65;68,25,3621,320,1124,1714,1907,True,True,0.7101772165855226,0.0997780874035985,True,3.8118433976637687
assist_17,same_query_concept,45,2;3;4;5;7;10;11;13;14;20;24;25;26;32;33;36;37;38;44;45;46;51;57;58;59;63,26,1391,320,657,519,872,True,True,0.6951172673574494,0.0939617318823214,True,3.719884688019267
assist_17,same_query_concept,7,1;4;5;7;10;11;12;13;14;20;23;24;32;33;36;37;38;39;45;56;57;59;60;65;71;76,26,2052,320,865,1093,959,True,True,0.6700940769178801,0.0920685262223877,True,3.714756672663675
assist_17,same_query_concept,20,0;2;4;5;6;12;13;14;20;24;25;26;33;34;36;43;46;50;51;57;59;62;63;65;68,25,9301,320,1381,4310,4991,True,True,0.6400362257739866,0.0831347303654132,True,3.6957038476684008
assist_17,same_query_concept,56,2;4;5;7;10;11;13;14;20;24;26;32;33;36;37;43;44;46;53;56;57;58;59;60;64;67;68;71;72,29,1562,320,737,633,929,True,True,0.6621776163627056,0.0902666896340347,True,3.683638757358892
assist_17,same_query_concept,32,2;4;5;7;8;10;11;12;13;14;20;24;30;32;34;37;38;44;45;57;59;63;65;68;75;87,26,2778,320,930,1666,1112,True,True,0.6458198584296938,0.0869614382701116,True,3.677291539237848
assist_17,same_query_concept,14,2;3;4;5;7;10;12;13;14;20;24;26;28;32;33;34;37;38;45;53;56;57;59;62;65;68,26,31,31,28,11,20,True,True,0.8011534633432204,0.128751594576757,True,3.652889424648897
assist_17,same_query_concept,20,0;2;4;5;6;12;13;14;20;24;25;26;33;34;36;43;46;50;51;57;59;60;62;63;65;68,26,106,106,99,34,72,True,True,0.717415769711472,0.1014901586932909,True,3.583893423083445
assist_17,same_query_concept,36,4;5;7;10;11;12;13;14;20;24;25;26;28;29;32;33;34;36;41;45;46;57;59;63;65;66,26,2429,320,908,1005,1424,True,True,0.6028490386431591,0.0742254938058392,True,3.580985523284264
assist_17,same_query_concept,14,2;4;5;7;10;12;13;14;20;24;26;28;32;33;34;37;38;45;50;53;56;57;59;62;65;68,26,56,56,56,21,35,True,True,0.7267893427442507,0.1023573526790697,True,3.540523880243985
assist_17,same_query_concept,57,2;4;5;7;10;11;12;13;14;20;24;26;32;36;37;38;42;45;52;54;55;57;58;59;65;96,26,5710,320,1264,2370,3340,True,True,0.5480019873931368,0.0627619471990392,True,3.5133325163054554
assist_17,same_query_concept,33,1;2;4;5;7;10;11;13;14;20;32;33;34;35;36;37;38;43;45;56;57;63;64;65;68;70;74,27,1726,320,891,660,1066,True,True,0.551417318755341,0.0676304392405877,True,3.501285688975693
assist_17,same_query_concept,53,2;3;4;5;7;10;11;12;13;14;20;24;26;28;32;33;36;39;44;50;53;57;58;59;62;68,26,771,320,512,350,421,True,True,0.589322693763955,0.0702080309057052,True,3.4941824019038528
assist_17,same_query_concept,59,0;4;5;6;7;10;11;12;13;14;20;24;32;36;45;46;47;50;57;58;59;62;63;66;68;74,26,1917,320,808,793,1124,True,True,0.5645334307105239,0.0649861130331309,True,3.4940577745488968
assist_17,same_query_concept,20,0;2;4;5;6;12;13;14;20;24;25;26;32;33;34;36;43;46;50;51;57;59;62;63;65;68,26,45,45,45,21,24,True,True,0.6981066853108334,0.0996402114891098,True,3.4795316709161823
assist_17,same_query_concept,14,2;4;5;7;10;12;13;14;20;24;26;28;32;33;34;37;38;45;53;56;57;59;62;65;67;68,26,32,32,29,10,22,True,True,0.7228814246012685,0.1024795710689811,True,3.4729194470434086
assist_17,same_query_concept,14,2;4;5;7;10;12;13;14;20;24;26;28;32;33;34;37;38;45;53;56;57;59;62;64;65;68,26,23,23,23,7,16,True,True,0.731492237111433,0.1053754548750696,True,3.470799439646506
assist_17,same_query_concept,14,2;4;5;7;10;12;13;14;20;24;26;28;32;33;34;37;38;45;53;54;56;57;59;62;65;68,26,44,44,44,25,19,True,True,0.6868747400718747,0.0953093174416038,True,3.448778258815322
assist_17,same_query_concept,24,2;4;5;7;10;11;13;14;20;23;24;32;36;37;38;39;45;50;57;58;59;62;63;65;71;90;92,27,904,320,588,318,586,True,True,0.5443034576664676,0.0641617677207021,True,3.438793146914435
assist_17,same_query_concept,20,0;2;4;5;6;12;13;14;20;24;25;26;33;34;36;43;46;48;50;51;57;59;62;63;65;68,26,307,307,266,135,172,True,True,0.5761671545291227,0.0690228982933551,True,3.4109836135425686
assist_17,same_query_concept,14,2;4;5;7;10;12;13;14;20;24;26;28;32;33;34;37;38;42;45;53;56;57;59;62;65;68,26,27,27,27,15,12,True,True,0.6938326846194973,0.09502172368035,True,3.4071400303584185
assist_17,same_query_concept,37,2;4;5;7;8;10;11;12;13;14;20;24;26;32;33;34;36;37;38;42;44;45;56;57;65,25,1239,320,530,673,566,True,True,0.5260027375861577,0.0626145441702469,True,3.4039371163913392
assist_17,same_query_concept,1,0;1;2;4;5;7;10;11;13;14;20;26;32;33;36;37;38;45;46;57;58;59;62;65;67;96,26,1059,320,572,401,658,True,True,0.5328666575455312,0.0582591579214208,True,3.400991860902689
assist_17,same_query_concept,14,2;4;5;7;10;12;13;14;20;24;26;28;32;33;34;37;38;41;45;53;56;57;59;62;65;68,26,41,41,41,10,31,True,True,0.6648650307631109,0.086380182881461,True,3.384152724117292
assist_17,same_query_concept,14,2;4;5;7;10;12;13;14;18;20;24;26;28;32;33;34;37;38;45;53;56;57;59;62;65;68,26,42,42,41,14,28,True,True,0.6494753667395763,0.0878548860913871,True,3.3746618729334616
assist_17,same_query_concept,62,0;2;4;7;10;11;13;14;20;24;29;32;33;35;37;38;45;46;52;53;54;57;59;62;65;74,26,1289,320,717,604,685,True,True,0.4972539216326598,0.054536486992651,True,3.3730468265080864
assist_17,same_query_concept,34,2;4;5;6;7;10;11;12;13;14;20;24;32;33;34;36;37;38;39;46;47;50;57;58;60;68;71,27,1533,320,841,633,900,True,True,0.4963140411472935,0.0506035103572443,True,3.3723060840005035
assist_17,same_query_concept,10,1;2;4;5;7;10;11;12;13;14;20;24;26;28;32;33;36;37;38;45;56;57;58;59;60;65;71;79,28,1299,320,701,610,689,True,True,0.5008306411415085,0.053433670872355,True,3.3699586650335096
assist_17,same_query_concept,2,2;4;7;10;11;12;13;14;20;23;24;25;32;35;38;44;45;46;53;56;57;58;63;68;83;85,26,1576,320,853,672,904,True,True,0.4724139864868945,0.0554524214305971,True,3.36921679158814
assist_17,same_query_concept,11,0;1;2;4;5;7;8;10;11;12;13;14;20;24;26;29;30;32;36;38;39;44;45;57;58;62;65,27,1194,320,676,550,644,True,True,0.497158638739321,0.050871715699162,True,3.3524126288271967
assist_17,same_query_concept,14,2;4;5;7;10;12;13;14;20;24;26;28;32;33;34;37;38;45;49;53;56;57;59;62;65;68,26,25,25,25,7,18,True,True,0.6664447177293216,0.0897902130798354,True,3.351415223850811
assist_17,same_query_concept,44,2;4;5;6;7;10;11;13;14;20;23;26;29;32;36;37;38;44;45;46;56;57;58;68;71;81,26,1357,320,737,515,842,True,True,0.4808462592253254,0.0492931038094783,True,3.338413056923286
assist_17,same_query_concept,29,0;2;4;5;7;10;11;12;13;14;20;23;24;26;29;32;35;36;37;38;44;45;57;58;59;62;68;74;87,29,396,320,332,117,279,True,True,0.5307280584051601,0.0561343883818652,True,3.336079860930665
assist_17,same_query_concept,5,4;5;7;10;12;13;14;20;26;32;33;34;36;37;44;45;46;47;57;58;59;63;68;69;77;94,26,1978,320,994,669,1309,True,True,0.446383122592636,0.0489619329856573,True,3.3325051282511247
assist_17,same_query_concept,20,0;2;4;5;6;11;12;13;14;20;24;25;26;33;34;36;43;46;50;51;57;59;62;63;65;68,26,81,81,81,22,59,True,True,0.5974929789000295,0.0729136504519487,True,3.3298195054342496
assist_17,same_query_concept,14,2;4;5;7;10;12;13;14;15;20;24;26;28;32;33;34;37;38;45;53;56;57;59;62;65;68,26,43,43,36,26,17,True,True,0.6333169680245472,0.0835863802553829,True,3.328754280310502
assist_17,same_query_concept,4,0;2;4;5;7;10;11;12;13;14;20;26;32;33;36;41;44;45;46;51;53;56;57;58;59;62;68,27,1884,320,894,820,1064,True,True,0.4565438124225623,0.0467386754502968,True,3.323180886051236
assist_17,same_query_concept,38,0;2;4;5;7;10;11;12;13;14;20;24;26;32;33;34;36;37;38;44;45;57;58;62;65;84;85,27,1387,320,627,814,573,True,True,0.4734539483200162,0.0488785083105351,True,3.313221998208977
