dataset,best_variant,best_hit@10,random_hit@10,degree_random_hit@10,self_hit@10,best_minus_random_hit@10,best_over_random,best_over_self,retrieval_success,claim_status
assist_09,seq_only,0.3673130343982878,0.1320961310017598,0.1357733075241708,0.1123797201710417,0.23521690339652798,2.780649452885145,3.2684992794005727,True,pass
junyi,fused_CRG,0.1648150681235747,0.021906849497629,0.0170794261010186,0.0020482170237955,0.1429082186259457,7.523449145045379,80.46758044133428,True,pass
assist_17,seq_only,0.4112559701964459,0.1543659367038146,0.1617610466731015,0.1320235557967685,0.2568900334926313,2.664162696628674,3.115019647172024,True,pass
assist_12,fused_CRG,0.8761413685190038,0.0227744055843158,0.0410906364633396,0.021827888156615,0.8533669629346881,38.47043846107587,40.13862276701683,True,pass
assist_15,fused_CRG,0.5327036406164004,0.112383752063617,0.1101167167530871,0.0946979240418112,0.4203198885527834,4.740041428006899,5.625293753865186,True,pass
assist_12_clean15_item50,fused_CRG,0.4908283520589781,0.0213121117001994,0.0342431265911689,0.0205879723799899,0.4695162403587787,23.03048890525409,23.84053868928004,True,pass
