variant,pairs,weight_sum,mrr,hit@5,ndcg@5,hit@10,ndcg@10
A_fused_prior,367593,257409.02999999985,0.24943997424831216,0.35217703901063635,0.2455424425357257,0.4908283520589781,0.2901817532611723
A_item_only,367593,257409.02999999985,0.025186220153057645,0.01634185094438996,0.010036053917395309,0.02129583410496517,0.011620280568809564
A_seq_only,367593,257409.02999999985,0.24943997424831216,0.35217703901063635,0.2455424425357257,0.4908283520589781,0.2901817532611723
A_support_uniform,367593,257409.02999999985,0.040983170337200614,0.0283864944442703,0.018741939463195682,0.06670488599409277,0.03081258229784302
A_degree_random,367593,257409.02999999985,0.027558583341546393,0.016541144652151486,0.010399420656815348,0.03424312659116895,0.0160427698902666
A_uniform_offdiag,367593,257409.02999999985,0.02532661303891864,0.01719403550061939,0.0103718169003178,0.021312111700199497,0.011675673493634048
A_self_only,367593,257409.02999999985,0.021747824292021177,0.009854549391682186,0.005507012794140872,0.02058797237998995,0.008916890245932448
