variant,auc,acc,rmse
full,0.7783116166343362,0.7406733215893522,0.41776402531062284
no_A,0.767132729913772,0.7320414954002741,0.42220921876330686
no_E,0.7633669337459796,0.7308866705813271,0.4246636167411234
E_shuffle,0.5750942006494523,0.6333920532393815,0.5070431970913913
E_mean,0.6064734561768834,0.6636328048541789,0.4826892621429139
