case_id,rank,query_concept,support_concept,query_mapped,support_mapped,a_prior,e_posterior,delta,student_support_mastery_logit,student_support_recent_logit,student_support_count,item_prior,seq_prior,source,is_self
E01_row45257,1,C13,C12,13,12,0.909782886505127,0.9867406189441681,0.07695773243904114,0.22201943397521973,0.508575975894928,1.0,1.0,0.16199834644794464,item+seq,0
E01_row45257,1,C13,C6,13,6,0.004937564139254391,0.007365701952949166,0.002428137813694775,-0.7732660174369812,-0.37834495306015015,27.0,0.0,0.028100349009037018,seq,0
E01_row45257,1,C13,C0,13,0,0.0021108812070451677,0.0025110053829848766,0.00040012417593970895,0.15667247772216797,0.37314844131469727,1.0,0.0,0.016298003494739532,seq,0
E01_row45257,1,C13,C9,13,9,0.0012043153401464224,0.0015800114488229156,0.00037569610867649317,-0.5358080863952637,-0.04024893045425415,16.0,0.0,0.012395490892231464,seq,0
E01_row45257,1,C13,C79,13,79,0.0017181200673803687,0.0008675537537783384,-0.0008505663136020303,-0.23723851144313812,-0.3573039770126343,12.0,0.0,0.0116623155772686,seq,0
E01_row45257,1,C13,C48,13,48,0.0024612772976979613,0.0007398891902994365,-0.0017213881073985249,-1.323531985282898,-0.8471806049346924,31.0,0.0,0.018192512914538383,seq,0
E01_row45257,1,C13,C13,13,13,0.05003250017762184,0.00043294021452311426,-0.04959955996309873,-0.4525126516819,-0.7520894408226013,5.0,0.0,0.0,self,1
E01_row45257,1,C13,C55,13,55,0.0030648711835965514,0.0004008443793281913,-0.00266402680426836,0.0,3.5762786865234375e-07,0.0,0.0,0.016900882124900818,seq,0
E02_row2114,2,C13,C12,13,12,0.9097828269004822,0.9801092445850372,0.07032641768455505,0.0,0.0,0.0,1.0,0.16199834644794464,item+seq,0
E02_row2114,2,C13,C6,13,6,0.0049375639064237475,0.011337827192619443,0.006400263286195695,0.02275073528289795,-0.3650583028793335,8.0,0.0,0.028100349009037018,seq,0
E02_row2114,2,C13,C0,13,0,0.002110881090629846,0.00397465203423053,0.0018637709436006844,0.29209113121032715,0.6080003976821899,2.0,0.0,0.016298003494739532,seq,0
E02_row2114,2,C13,C9,13,9,0.0012043153401464224,0.002739709336310625,0.0015353939961642027,0.03921383619308472,-0.043860793113708496,3.0,0.0,0.012395490892231464,seq,0
E02_row2114,2,C13,C79,13,79,0.001718119834549725,0.0007150837918743491,-0.001003036042675376,-0.4425543546676636,-0.35175853967666626,10.0,0.0,0.0116623155772686,seq,0
E02_row2114,2,C13,C13,13,13,0.05003249645233154,0.0006305854767560959,-0.04940191097557545,0.010066483169794083,-0.04272308573126793,2.0,0.0,0.0,self,1
E02_row2114,2,C13,C48,13,48,0.0024612771812826395,0.0005876861978322268,-0.0018735909834504128,0.0,0.0,0.0,0.0,0.018192512914538383,seq,0
E02_row2114,2,C13,C58,13,58,0.0030588562367483974,0.0005293394788168371,-0.0025295167579315603,0.0,0.0,0.0,0.0,0.018045170232653618,seq,0
E03_row26453,3,C13,C12,13,12,0.909782886505127,0.9867027103900909,0.07691982388496399,0.1793116331100464,0.31068214774131775,3.0,1.0,0.16199834644794464,item+seq,0
E03_row26453,3,C13,C6,13,6,0.004937564139254391,0.007443560985848308,0.0025059968465939164,-0.8191507458686829,-1.1486119031906128,8.0,0.0,0.028100349009037018,seq,0
E03_row26453,3,C13,C0,13,0,0.0021108812070451677,0.002518330584280193,0.00040744937723502517,0.15667247772216797,0.37314844131469727,1.0,0.0,0.016298003494739532,seq,0
E03_row26453,3,C13,C9,13,9,0.0012043153401464224,0.0016311965882778168,0.0004268812481313944,-0.9337882995605469,-1.3410401344299316,7.0,0.0,0.012395490892231464,seq,0
E03_row26453,3,C13,C79,13,79,0.0017181200673803687,0.0008511405903846025,-0.0008669794769957662,0.0,0.0,0.0,0.0,0.0116623155772686,seq,0
E03_row26453,3,C13,C48,13,48,0.0024612772976979613,0.0006683127721771598,-0.0017929645255208015,0.07652729749679565,-0.2861422896385193,14.0,0.0,0.018192512914538383,seq,0
E03_row26453,3,C13,C13,13,13,0.05003250017762184,0.00043503080087248236,-0.04959746937674936,0.35238897800445557,0.5146840810775757,4.0,0.0,0.0,self,1
E03_row26453,3,C13,C55,13,55,0.0030648711835965514,0.00039746458060108125,-0.00266740660299547,-0.5669226050376892,-0.9141193628311157,15.0,0.0,0.016900882124900818,seq,0
