case_id,rank,stu_id,eval_row_id,query_concept,support_concept,query_mapped,support_mapped,a_prior,e_posterior,delta,student_support_mastery_logit,student_support_recent_logit,student_support_count,item_prior,seq_prior,source,is_self
EC01_row1951,1,40,1951,C97,C96,97,96,0.2178756445646286,0.42996586859226227,0.21209022402763367,0.6195127964019775,1.0377283096313477,4.0,0.0,0.09248217940330505,seq,0
EC01_row1951,1,40,1951,C97,C46,97,46,0.0971856415271759,0.22970562428236008,0.13251998275518417,0.9444756507873535,0.1402219533920288,50.0,0.0,0.030518658459186554,seq,0
EC01_row1951,1,40,1951,C97,C81,97,81,0.08876921236515045,0.1493990793824196,0.060629867017269135,1.2210866212844849,1.2770637273788452,15.0,0.0,0.0522807352244854,seq,0
EC01_row1951,1,40,1951,C97,C55,97,55,0.08944171294569969,0.0927867628633976,0.0033450499176979065,0.05734074115753174,0.29198575019836426,5.0,0.0,0.04661891981959343,seq,0
EC01_row1951,1,40,1951,C97,C99,97,99,0.04358110390603542,0.0740571953356266,0.03047609142959118,-0.03707706928253174,-0.3710139989852905,8.0,0.0,0.025765055790543556,seq,0
EC01_row1951,1,40,1951,C97,C79,97,79,0.07182356342673302,0.009385025361552835,-0.06243853806518018,1.0594230890274048,1.3508212566375732,9.0,0.0,0.05583522468805313,seq,0
EC01_row1951,1,40,1951,C97,C82,97,82,0.06596933118999004,0.004075248492881656,-0.06189408269710839,0.2904728651046753,0.16518372297286987,9.0,0.0,0.046974435448646545,seq,0
EC01_row1951,1,40,1951,C97,C30,97,30,0.04018590226769447,0.003907476551830769,-0.036278425715863705,0.5981572270393372,0.6108857989311218,17.0,0.0,0.04080440104007721,seq,0
EC02_row32510,2,1393,32510,C97,C96,97,96,0.2178756445646286,0.44787827134132385,0.23000262677669525,0.0,0.0,0.0,0.0,0.09248217940330505,seq,0
EC02_row32510,2,1393,32510,C97,C46,97,46,0.0971856415271759,0.23552829027175903,0.13834264874458313,-1.3153632879257202,-1.685811161994934,11.0,0.0,0.030518658459186554,seq,0
EC02_row32510,2,1393,32510,C97,C81,97,81,0.08876921236515045,0.13478778675198555,0.0460185743868351,-0.6164172291755676,-0.7505287528038025,6.0,0.0,0.0522807352244854,seq,0
EC02_row32510,2,1393,32510,C97,C55,97,55,0.08944171294569969,0.08759696036577225,-0.0018447525799274445,-0.48089659214019775,-0.6331988573074341,7.0,0.0,0.04661891981959343,seq,0
EC02_row32510,2,1393,32510,C97,C99,97,99,0.04358110390603542,0.07472219318151474,0.031141089275479317,0.0,0.0,0.0,0.0,0.025765055790543556,seq,0
EC02_row32510,2,1393,32510,C97,C79,97,79,0.07182356342673302,0.005456885322928429,-0.06636667810380459,-0.049196213483810425,0.005566835403442383,7.0,0.0,0.05583522468805313,seq,0
EC02_row32510,2,1393,32510,C97,C98,97,98,0.12011700868606567,0.003150510136038065,-0.11696649855002761,-0.9004189968109131,-0.6508855819702148,47.0,0.0,0.1276281625032425,seq,0
EC02_row32510,2,1393,32510,C97,C82,97,82,0.06596933118999004,0.003126117750070989,-0.06284321343991905,0.11284512281417847,-0.18184396624565125,7.0,0.0,0.046974435448646545,seq,0
EC03_row38472,3,1917,38472,C97,C96,97,96,0.2178756445646286,0.43296344578266144,0.21508780121803284,0.0,0.0,0.0,0.0,0.09248217940330505,seq,0
EC03_row38472,3,1917,38472,C97,C46,97,46,0.0971856415271759,0.23911933600902557,0.14193369448184967,0.0,0.0,0.0,0.0,0.030518658459186554,seq,0
EC03_row38472,3,1917,38472,C97,C81,97,81,0.08876921236515045,0.15331324934959412,0.06454403698444366,0.14789485931396484,0.35420215129852295,1.0,0.0,0.0522807352244854,seq,0
EC03_row38472,3,1917,38472,C97,C55,97,55,0.08944171294569969,0.0762074664235115,-0.013234246522188187,0.14964628219604492,0.3579980134963989,1.0,0.0,0.04661891981959343,seq,0
EC03_row38472,3,1917,38472,C97,C99,97,99,0.04358110390603542,0.0735222939401865,0.029941190034151077,0.0,0.0,0.0,0.0,0.025765055790543556,seq,0
EC03_row38472,3,1917,38472,C97,C79,97,79,0.07182356342673302,0.008060310734435916,-0.0637632526922971,0.19013428688049316,0.44367992877960205,1.0,0.0,0.05583522468805313,seq,0
EC03_row38472,3,1917,38472,C97,C82,97,82,0.06596933118999004,0.004517465364187956,-0.06145186582580209,0.24920445680618286,0.2848646640777588,5.0,0.0,0.046974435448646545,seq,0
EC03_row38472,3,1917,38472,C97,C38,97,38,0.049899378791451454,0.003977291868068278,-0.045922086923383176,-0.5585946440696716,-1.045771837234497,2.0,0.0,0.02482028678059578,seq,0
